,County_slash_Sub_County,lighting_Conventional_Households,lighting_Mains_Electricity,lighting_Paraffin_Pressure_lamp,lighting_Paraffin_Lantern,lighting_Paraffin_Tin_Lamp,lighting_Gas_Lamp,lighting_Wood,lighting_Solar_and_Solar_Torch_and_Battery_Torch,lighting_Solar,lighting_Torch_slash_Spotlight_Solar_Charged,lighting_Torch_slash_Spotlight_Dry_cells,lighting_Candle,lighting_Battery_Car_Slash_Charged,lighting_Generator_Diesel_slash_Petrol),lighting_Biogas,lighting_Not_Stated,drinking_water_Conventional_Households,drinking_water_Pond,drinking_water_Dam_slash_Lake,drinking_water_Stream_slash_River,drinking_water_Protected_Spring,drinking_water_Unprotected_Spring,drinking_water_Protected_Well,unprotected_well_borehole_piped_dwelling,drinking_water_Unprotected_Well,drinking_water_Borehole_slash_Tube_well,drinking_water_Piped_into_dwelling,drinking_water_Piped_to_yard_slash_plot,drinking_water_Bottled_water,drinking_water_Rain_slash_Harvested_water,drinking_water_Water_Vendor,drinking_water_Public_tap_slash_Standpipe,drinking_water_Not_Stated,internet_population_above3_Total_Male_Female,internet_population_above3_Total,internet_population_above3_Male,internet_population_above3_Female,Use_of_Internet_Total,Use_of_Internet_pct,Use_of_Internet_Male_pct,Use_of_Internet_Male,Use_of_Internet_pct.1,Use_of_Internet_Female,Use_of_Internet_pct.2,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Total,pct_male_pct_female_pct,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Total_pct,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Male,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Male_pct,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Female,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Female_pct,mo_phone_population_above_3_Total_Male_Female,mo_phone_population_above_3_Total,mo_phone_population_above_3_Male,mo_phone_population_above_3_Female,mobile_phone_Total,mobile_phone_Total_pct,mobile_phone_Male_and_pct,mobile_phone_Male,mobile_phone_Male_pct,mobile_phone_Female,mobile_phone_Female_pct
622,MASINGA,"36,196",13.2,0.6,15.6,14.4,0.3,0.7,47.8 3.1 2.4,47.8,3.1,2.4,1,0.8,0,0,0,"36,196",1.3,10.8,26.2,2.1,3.4,3.8,5.9 13.8 4.5,5.9,13.8,4.5,3.5,0.7,2.3,4.2,17.6,0,"138,933 68,657 70,274","138,933","68,657","70,274","20,200",14.5,"10,905 15.9","10,905",15.9,"9,294",13.2,"6,955","5.0 3,957 5.8 2,997",5.0,"3,957",5.8,"2,997",4.3,"138,933 68,657 70,274","138,933","68,657","70,274","66,702",48.0,"31,700 46.2","31,700",46.2,"35,001",49.8
623,MATUNGULU,"44,399",38.1,0.7,14.7,9.1,0.2,0.2,31.4 2.4 0.6,31.4,2.4,0.6,1.9,0.6,0,0,0,"44,399",1,1.4,3.7,5.6,4.8,12.4,8.6 34.3 3.6,8.6,34.3,3.6,3.2,2.4,4.5,8.4,6,0,"151,535 76,123 75,408","151,535","76,123","75,408","32,446",21.4,"17,059 22.4","17,059",22.4,"15,386",20.4,"13,898","9.2 7,659 10.1 6,239",9.2,"7,659",10.1,"6,239",8.3,"151,535 76,123 75,408","151,535","76,123","75,408","81,182",53.6,"39,864 52.4","39,864",52.4,"41,316",54.8
624,MWALA,"45,809",18.8,0.7,14,10.3,0.2,0.3,48.1 5.2 1.4,48.1,5.2,1.4,0.9,0.1,0,-,0,"45,809",0.4,8.4,39.4,1.1,0.7,2.3,1.7 32.2 0.9,1.7,32.2,0.9,0.6,0.8,5.3,2.5,3.6,0,"171,999 85,399 86,597","171,999","85,399","86,597","29,042",16.9,"15,561 18.2","15,561",18.2,"13,481",15.6,"10,350","6.0 5,828 6.8 4,522",6.0,"5,828",6.8,"4,522",5.2,"171,999 85,399 86,597","171,999","85,399","86,597","88,158",51.3,"41,675 48.8","41,675",48.8,"46,482",53.7
625,YATTA,"43,661",23.7,0.8,16.6,10.5,0.2,0.4,40.7 3.9 1.7,40.7,3.9,1.7,1.2,0.3,0,0,0,"43,661",1.3,4.2,32.5,1.6,1.8,5.1,4.2 28.3 1.8,4.2,28.3,1.8,1.7,1.7,2.8,9.2,3.7,0,"161,270 79,612 81,657","161,270","79,612","81,657","28,033",17.4,"15,157 19.0","15,157",19.0,"12,875",15.8,"10,111","6.3 5,615 7.1 4,496",6.3,"5,615",7.1,"4,496",5.5,"161,270 79,612 81,657","161,270","79,612","81,657","81,837",50.7,"39,253 49.3","39,253",49.3,"42,583",52.1
626,MAKUENI,"243,979",20.4,0.7,16,10,0.1,0.3,44.0 4.2 2.9,44.0,4.2,2.9,1,0.4,0,0,0,"243,979",0.6,2.7,29.1,2.6,5.5,5.9,7.3 11.8 3.0,7.3,11.8,3.0,3.7,1.5,5.9,10.6,9.8,0,"921,168 453,946 467,204","921,168","453,946","467,204","148,699",16.1,"81,851 18.0","81,851",18.0,"66,845",14.3,"56,473","6.1 32,092 7.1 24,380",6.1,"32,092",7.1,"24,380",5.2,"921,168 453,946 467,204","921,168","453,946","467,204","451,528",49.0,"217,271 47.9","217,271",47.9,"234,251",50.1
627,KATHONZWENI,"18,362",7.4,0.5,18.4,7.2,0.1,0.5,56.3 4.9 3.7,56.3,4.9,3.7,0.5,0.6,0.1,-,0,"18,362",0.3,4.6,38.6,0.3,0.4,10.7,5.2 20.5 1.1,5.2,20.5,1.1,1.3,1.4,2.5,4.2,9,0,"74,893 36,846 38,044","74,893","36,846","38,044","10,686",14.3,"5,965 16.2","5,965",16.2,"4,721",12.4,"3,722","5.0 2,118 5.7 1,604",5.0,"2,118",5.7,"1,604",4.2,"74,893 36,846 38,044","74,893","36,846","38,044","36,271",48.4,"17,312 47.0","17,312",47.0,"18,957",49.8
628,KIBWEZI,"47,594",18.6,0.7,14.5,14,0.2,0.4,41.0 3.3 5.4,41.0,3.3,5.4,1.2,0.7,0.1,-,0,"47,594",0.2,0.6,16.6,1.4,1.5,7.9,2.7 13.2 4.2,2.7,13.2,4.2,5.4,1.1,1.7,18.4,25.1,0,"182,688 90,350 92,334","182,688","90,350","92,334","26,340",14.4,"14,721 16.3","14,721",16.3,"11,617",12.6,"10,102","5.5 5,862 6.5 4,239",5.5,"5,862",6.5,"4,239",4.6,"182,688 90,350 92,334","182,688","90,350","92,334","83,492",45.7,"40,466 44.8","40,466",44.8,"43,024",46.6
629,KILUNGU,"14,563",18.2,1.4,18.5,11.6,0.1,0.9,41.6 5.0 2.0,41.6,5.0,2.0,0.4,0.2,0,-,0,"14,563",1.1,0.3,24.3,8.5,17.2,8.4,24.4 1.6 0.4,24.4,1.6,0.4,0.4,0.4,11,1.2,0.6,0,"57,412 27,241 30,170","57,412","27,241","30,170","8,301",14.5,"4,589 16.8","4,589",16.8,"3,712",12.3,"2,931","5.1 1,701 6.2 1,230",5.1,"1,701",6.2,"1,230",4.1,"57,412 27,241 30,170","57,412","27,241","30,170","26,387",46.0,"12,116 44.5","12,116",44.5,"14,271",47.3
630,MAKINDU,"21,662",31.1,0.8,13.7,11,0.1,0.4,35.8 2.9 2.8,35.8,2.9,2.8,0.9,0.5,0,-,0,"21,662",0.5,1.1,9.6,2.6,0.2,6.8,1.9 10.4 7.1,1.9,10.4,7.1,7.9,2.1,1.7,29.3,18.8,0,"78,427 38,462 39,965","78,427","38,462","39,965","12,925",16.5,"6,926 18.0","6,926",18.0,"5,999",15.0,"5,199","6.6 2,859 7.4 2,340",6.6,"2,859",7.4,"2,340",5.9,"78,427 38,462 39,965","78,427","38,462","39,965","38,603",49.2,"18,435 47.9","18,435",47.9,"20,168",50.5
631,MAKUENI SUBCOUNTY,"34,352",30,0.5,12.2,7.1,0.1,0.2,42.5 4.2 1.8,42.5,4.2,1.8,1.1,0.3,0,0,0,"34,352",1.2,2.6,35.4,0.9,4,5.3,7.6 13.4 2.6,7.6,13.4,2.6,2.6,4.7,8.9,6.7,4.2,0,"121,484 60,589 60,893","121,484","60,589","60,893","27,646",22.8,"14,765 24.4","14,765",24.4,"12,881",21.2,"11,563","9.5 6,330 10.4 5,233",9.5,"6,330",10.4,"5,233",8.6,"121,484 60,589 60,893","121,484","60,589","60,893","66,350",54.6,"32,712 54.0","32,712",54.0,"33,638",55.2
632,MBOONI EAST,"23,724",9.6,0.5,14.4,9.4,0.1,0.2,53.3 9.3 2.2,53.3,9.3,2.2,0.8,0.2,0,0,0,"23,724",0.3,7.8,60.4,1.6,4.4,1.9,5.3 6.2 1.0,5.3,6.2,1.0,0.7,0.6,6.3,1.9,1.6,0,"92,210 45,311 46,896","92,210","45,311","46,896","13,449",14.6,"7,367 16.3","7,367",16.3,"6,082",13.0,"4,609","5.0 2,624 5.8 1,985",5.0,"2,624",5.8,"1,985",4.2,"92,210 45,311 46,896","92,210","45,311","46,896","45,517",49.4,"21,318 47.0","21,318",47.0,"24,199",51.6
633,MBOONI WEST,"24,807",14.4,0.4,20.2,11,0.1,0.2,48.5 3.0 1.2,48.5,3.0,1.2,0.7,0.2,0,-,0,"24,807",0.7,2.6,25.1,8,22.9,6,17.4 2.0 1.0,17.4,2.0,1.0,0.8,0.4,6.6,5.8,0.8,0,"96,464 46,405 50,058","96,464","46,405","50,058","12,795",13.3,"7,152 15.4","7,152",15.4,"5,642",11.3,"4,835","5.0 2,774 6.0 2,061",5.0,"2,774",6.0,"2,061",4.1,"96,464 46,405 50,058","96,464","46,405","50,058","45,536",47.2,"20,880 45.0","20,880",45.0,"24,655",49.3
634,MUKAA,"28,109",25,0.7,19.5,9.9,0.1,0.3,38.3 2.4 2.1,38.3,2.4,2.1,1.4,0.3,0,0,0,"28,109",1,6.4,15.5,0.9,3.1,3.8,6.3 20.9 3.4,6.3,20.9,3.4,4.2,0.6,14.9,10.4,8.5,0,"100,143 50,574 49,569","100,143","50,574","49,569","17,156",17.1,"9,624 19.0","9,624",19.0,"7,532",15.2,"6,558","6.5 3,778 7.5 2,780",6.5,"3,778",7.5,"2,780",5.6,"100,143 50,574 49,569","100,143","50,574","49,569","52,311",52.2,"26,394 52.2","26,394",52.2,"25,917",52.3
635,NZAUI,"30,806",23,0.7,16.1,7.2,0.1,0.3,43.9 4.4 2.9,43.9,4.4,2.9,1,0.3,0,0,0,"30,806",0.5,0.3,43.4,2.6,3.4,3.9,5.4 12.0 4.2,5.4,12.0,4.2,6.4,0.8,2.7,8.4,6,0,"117,447 58,168 59,275","117,447","58,168","59,275","19,401",16.5,"10,742 18.5","10,742",18.5,"8,659",14.6,"6,954","5.9 4,046 7.0 2,908",5.9,"4,046",7.0,"2,908",4.9,"117,447 58,168 59,275","117,447","58,168","59,275","57,061",48.6,"27,638 47.5","27,638",47.5,"29,422",49.6
636,NYANDARUA,"178,224",41.3,0.4,15,8.1,0.1,0.1,28.4 2.7 1.1,28.4,2.7,1.1,1.6,1.1,0,0,0,"178,224",0.5,2.6,11.3,1.6,1.2,20.4,4.0 5.4 8.8,4.0,5.4,8.8,18.8,0.3,19,2.8,3.3,0,"594,649 292,917 301,715","594,649","292,917","301,715","122,388",20.6,"69,255 23.6","69,255",23.6,"53,132",17.6,"45,701","7.7 25,730 8.8 19,970",7.7,"25,730",8.8,"19,970",6.6,"594,649 292,917 301,715","594,649","292,917","301,715","327,013",55.0,"158,844 54.2","158,844",54.2,"168,160",55.7
637,KINANGOP,"30,847",51.2,0.5,15.7,6,0,0.1,19.5 2.7 0.6,19.5,2.7,0.6,2.2,1.3,0.1,-,0,"30,847",0.2,0.3,3,1.5,0.9,31.8,3.1 9.4 4.1,3.1,9.4,4.1,11.2,0.6,27,4.2,2.7,0,"103,793 50,836 52,953","103,793","50,836","52,953","21,049",20.3,"11,840 23.3","11,840",23.3,"9,209",17.4,"6,258","6.0 3,553 7.0 2,705",6.0,"3,553",7.0,"2,705",5.1,"103,793 50,836 52,953","103,793","50,836","52,953","56,632",54.6,"27,314 53.7","27,314",53.7,"29,315",55.4
638,NYANDARUA SOUTH,"25,650",39.6,0.4,13,6,0.1,0.1,34.0 2.9 1.2,34.0,2.9,1.2,1.9,0.9,0,0,0,"25,650",0,0.2,6.9,0.9,0.1,1.2,0.2 2.8 22.5,0.2,2.8,22.5,41.2,0.1,17.3,1.1,5.4,0,"87,189 42,802 44,384","87,189","42,802","44,384","18,840",21.6,"10,564 24.7","10,564",24.7,"8,275",18.6,"6,918","7.9 3,871 9.0 3,047",7.9,"3,871",9.0,"3,047",6.9,"87,189 42,802 44,384","87,189","42,802","44,384","48,101",55.2,"23,287 54.4","23,287",54.4,"24,811",55.9
639,MIRANGINE,"17,880",38.2,0.4,19.5,9.5,0,0.2,25.5 2.9 1.2,25.5,2.9,1.2,1.3,1.2,0,0,0,"17,880",0.8,2.4,11.6,4,3.4,48.5,6.6 7.1 1.5,6.6,7.1,1.5,3.6,0.1,8.1,1.2,1,0,"62,731 31,220 31,510","62,731","31,220","31,510","10,329",16.5,"6,070 19.4","6,070",19.4,"4,259",13.5,"3,533","5.6 1,995 6.4 1,538",5.6,"1,995",6.4,"1,538",4.9,"62,731 31,220 31,510","62,731","31,220","31,510","32,150",51.3,"15,958 51.1","15,958",51.1,"16,192",51.4
640,KIPIPIRI,"25,077",27,0.4,16.4,10.2,0.1,0.2,37.3 3.8 1.7,37.3,3.8,1.7,1.2,1.6,0,0,0,"25,077",0.4,0.8,22.4,0.9,0.4,6.1,1.1 2.1 12.6,1.1,2.1,12.6,26.1,0.1,22.2,1.3,3.5,0,"87,881 43,161 44,718","87,881","43,161","44,718","13,873",15.8,"8,260 19.1","8,260",19.1,"5,613",12.6,"4,958","5.6 2,829 6.6 2,129",5.6,"2,829",6.6,"2,129",4.8,"87,881 43,161 44,718","87,881","43,161","44,718","45,878",52.2,"22,316 51.7","22,316",51.7,"23,561",52.7
641,NYANDARUA WEST,"29,003",48.7,0.4,13.8,8.4,0.1,0.1,23.9 1.9 0.9,23.9,1.9,0.9,1.3,0.5,0,0,0,"29,003",0.1,1.9,8.8,1,1.7,29.3,10.1 5.4 6.6,10.1,5.4,6.6,17.5,0.3,11.8,2.5,3,0,"91,217 45,240 45,973","91,217","45,240","45,973","22,172",24.3,"12,419 27.5","12,419",27.5,"9,753",21.2,"9,015","9.9 5,201 11.5 3,814",9.9,"5,201",11.5,"3,814",8.3,"91,217 45,240 45,973","91,217","45,240","45,973","52,899",58.0,"25,734 56.9","25,734",56.9,"27,164",59.1
642,NYANDARUA NORTH,"27,906",30.4,0.4,15.7,10.3,0,0.2,36.3 2.7 1.4,36.3,2.7,1.4,1.1,1.5,0,0,0,"27,906",1.2,8.7,16.6,1.8,1.7,13.8,3.3 5.3 6.4,3.3,5.3,6.4,14.8,0.1,20.3,3.3,2.7,0,"92,228 45,140 47,086","92,228","45,140","47,086","19,397",21.0,"10,748 23.8","10,748",23.8,"8,649",18.4,"8,058","8.7 4,438 9.8 3,619",8.7,"4,438",9.8,"3,619",7.7,"92,228 45,140 47,086","92,228","45,140","47,086","52,030",56.4,"24,976 55.3","24,976",55.3,"27,053",57.5
643,ABERDARE NATIONAL PARK,9,100,-,-,-,-,-,- - -,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,- - -,-,-,-,100,-,-,-,-,-,14 10 4,14,10,4,13,92.9,9 90.0,9,90.0,4,100.0,6,42.9 5 50.0 1,42.9,5,50.0,1,25.0,14 10 4,14,10,4,14,100.0,10 100.0,10,100.0,4,100.0
644,NYERI,"244,564",71.8,0.4,8.1,8.1,0.1,0.1,8.4 1.2 0.7,8.4,1.2,0.7,1,0.3,0,0,0,"244,564",0.2,0.3,13.4,0.5,0.4,2.2,1.1 1.0 24.1,1.1,1.0,24.1,40.2,0.2,8.9,2.2,5.3,0,"709,353 348,266 361,061","709,353","348,266","361,061","211,807",29.9,"112,479 32.3","112,479",32.3,"99,319",27.5,"97,427","13.7 52,982 15.2 44,443",13.7,"52,982",15.2,"44,443",12.3,"709,353 348,266 361,061","709,353","348,266","361,061","454,881",64.1,"220,124 63.2","220,124",63.2,"234,736",65.0
645,TETU,"24,122",76.2,0.7,7.8,8.6,0.1,0.1,4.6 0.9 0.3,4.6,0.9,0.3,0.6,0.1,-,0,0,"24,122",0.1,0.1,9.9,0.3,0.1,1.1,0.3 0.7 27.4,0.3,0.7,27.4,42,0.1,9.3,0.7,8,0,"75,931 37,083 38,846","75,931","37,083","38,846","19,846",26.1,"10,663 28.8","10,663",28.8,"9,182",23.6,"8,515","11.2 4,649 12.5 3,866",11.2,"4,649",12.5,"3,866",10.0,"75,931 37,083 38,846","75,931","37,083","38,846","48,081",63.3,"23,044 62.1","23,044",62.1,"25,035",64.4
646,KIENI EAST,"36,751",59.1,0.3,8.5,9,0,0.2,17.1 2.5 1.7,17.1,2.5,1.7,1,0.6,0,-,0,"36,751",0,0.1,9.1,0.4,0.3,0.1,0.2 0.9 18.3,0.2,0.9,18.3,60.2,0.4,3,2.4,4.4,0,"102,812 51,442 51,366","102,812","51,442","51,366","30,633",29.8,"16,703 32.5","16,703",32.5,"13,928",27.1,"12,721","12.4 6,967 13.5 5,754",12.4,"6,967",13.5,"5,754",11.2,"102,812 51,442 51,366","102,812","51,442","51,366","65,100",63.3,"32,554 63.3","32,554",63.3,"32,542",63.4
647,KIENI WEST,"27,530",40.2,0.3,12.7,11.4,0.1,0.5,29.2 2.4 1.2,29.2,2.4,1.2,1,0.9,0,0,0,"27,530",0.1,0.5,14,0.6,0.1,0.1,0.1 0.6 21.3,0.1,0.6,21.3,40.7,0.1,10.2,6.2,5.3,0,"82,829 41,026 41,798","82,829","41,026","41,798","18,395",22.2,"10,330 25.2","10,330",25.2,"8,062",19.3,"6,655","8.0 3,735 9.1 2,920",8.0,"3,735",9.1,"2,920",7.0,"82,829 41,026 41,798","82,829","41,026","41,798","49,810",60.1,"24,457 59.6","24,457",59.6,"25,348",60.6
648,MATHIRA EAST,"33,945",80.3,0.5,8.1,6,0.1,0.1,2.6 0.6 0.5,2.6,0.6,0.5,1.2,0.1,-,0,0,"33,945",0.4,0.2,21.7,0.6,1.1,8.2,2.1 2.4 21.4,2.1,2.4,21.4,30.1,0.3,6.9,1.2,3.5,0,"93,027 44,995 48,029","93,027","44,995","48,029","30,255",32.5,"15,678 34.8","15,678",34.8,"14,576",30.3,"14,589","15.7 7,952 17.7 6,637",15.7,"7,952",17.7,"6,637",13.8,"93,027 44,995 48,029","93,027","44,995","48,029","61,687",66.3,"29,394 65.3","29,394",65.3,"32,290",67.2
649,MATHIRA WEST,"18,892",71.5,0.4,10.4,9.4,0.1,0.1,5.5 0.9 0.5,5.5,0.9,0.5,0.9,0.1,-,0,0,"18,892",0.8,1,17.5,0.9,1,7.2,5.8 1.6 11.0,5.8,1.6,11.0,28,0.2,20,4.1,1,0,"56,676 27,860 28,813","56,676","27,860","28,813","13,896",24.5,"7,333 26.3","7,333",26.3,"6,562",22.8,"5,599","9.9 3,018 10.8 2,581",9.9,"3,018",10.8,"2,581",9.0,"56,676 27,860 28,813","56,676","27,860","28,813","35,719",63.0,"17,067 61.3","17,067",61.3,"18,649",64.7
650,NYERI SOUTH,"28,103",82.2,0.3,6.7,6.8,0,0,2.2 0.6 0.2,2.2,0.6,0.2,0.7,0.1,0,0,0,"28,103",0.1,0.2,14.1,0.4,0.3,1.7,0.4 1.0 21.8,0.4,1.0,21.8,37.2,0,14.9,0.2,7.7,0,"85,827 41,443 44,383","85,827","41,443","44,383","22,260",25.9,"11,843 28.6","11,843",28.6,"10,417",23.5,"9,472","11.0 5,166 12.5 4,306",11.0,"5,166",12.5,"4,306",9.7,"85,827 41,443 44,383","85,827","41,443","44,383","54,067",63.0,"25,610 61.8","25,610",61.8,"28,457",64.1
651,MUKURWE-INI,"27,036",66.8,0.5,10.7,12.8,0,0.1,7.1 1.0 0.4,7.1,1.0,0.4,0.5,0.1,-,0,0,"27,036",0.6,0.8,27.4,0.4,0.8,1.6,1.8 1.2 21.5,1.8,1.2,21.5,19.2,0,17.7,0.4,6.5,0,"83,933 41,386 42,541","83,933","41,386","42,541","19,055",22.7,"10,313 24.9","10,313",24.9,"8,742",20.5,"8,529","10.2 4,840 11.7 3,689",10.2,"4,840",11.7,"3,689",8.7,"83,933 41,386 42,541","83,933","41,386","42,541","51,594",61.5,"24,717 59.7","24,717",59.7,"26,873",63.2
652,NYERI CENTRAL,"48,036",88,0.3,3.6,4.2,0.1,0,1.6 0.4 0.3,1.6,0.4,0.3,1.3,0.1,0,-,0,"48,036",0,0,2.2,0.7,0,0,0.0 0.1 38.2,0.0,0.1,38.2,49,0.2,1.2,2.5,5.8,0,"128,041 62,843 65,196","128,041","62,843","65,196","57,316",44.8,"29,512 47.0","29,512",47.0,"27,803",42.6,"31,262","24.4 16,599 26.4 14,661",24.4,"16,599",26.4,"14,661",22.5,"128,041 62,843 65,196","128,041","62,843","65,196","88,599",69.2,"43,125 68.6","43,125",68.6,"45,474",69.7
653,ABERDARE FOREST,48,87.5,-,-,-,-,-,8.3 - -,8.3,-,-,4.2,-,-,-,-,48,-,-,-,-,-,-,- - 8.3,-,-,8.3,66.7,-,25,-,-,-,99 70 29,99,70,29,78,78.8,54 77.1,54,77.1,24,82.8,43,43.4 31 44.3 12,43.4,31,44.3,12,41.4,99 70 29,99,70,29,92,92.9,64 91.4,64,91.4,28,96.6
654,ABERDARE FOREST,48,87.5,-,-,-,-,-,8.3 - -,8.3,-,-,4.2,-,-,-,-,48,-,-,-,-,-,-,- - 8.3,-,-,8.3,66.7,-,25,-,-,-,99 70 29,99,70,29,78,78.8,54 77.1,54,77.1,24,82.8,43,43.4 31 44.3 12,43.4,31,44.3,12,41.4,42 30 12,42,30,12,35,83.3,26 86.7,26,86.7,9,75.0
655,ABERDARE FOREST,48,87.5,-,-,-,-,-,8.3 - -,8.3,-,-,4.2,-,-,-,-,48,-,-,-,-,-,-,- - 8.3,-,-,8.3,66.7,-,25,-,-,-,42 30 12,42,30,12,25,59.5,21 70.0,21,70.0,4,33.3,8,19.0 6 20.0 2,19.0,6,20.0,2,16.7,99 70 29,99,70,29,92,92.9,64 91.4,64,91.4,28,96.6
656,ABERDARE FOREST,48,87.5,-,-,-,-,-,8.3 - -,8.3,-,-,4.2,-,-,-,-,48,-,-,-,-,-,-,- - 8.3,-,-,8.3,66.7,-,25,-,-,-,42 30 12,42,30,12,25,59.5,21 70.0,21,70.0,4,33.3,8,19.0 6 20.0 2,19.0,6,20.0,2,16.7,42 30 12,42,30,12,35,83.3,26 86.7,26,86.7,9,75.0
657,ABERDARE FOREST,48,87.5,-,-,-,-,-,8.3 - -,8.3,-,-,4.2,-,-,-,-,10,-,-,-,-,-,-,- - 20.0,-,-,20.0,70,-,10,-,-,-,99 70 29,99,70,29,78,78.8,54 77.1,54,77.1,24,82.8,43,43.4 31 44.3 12,43.4,31,44.3,12,41.4,99 70 29,99,70,29,92,92.9,64 91.4,64,91.4,28,96.6
658,ABERDARE FOREST,48,87.5,-,-,-,-,-,8.3 - -,8.3,-,-,4.2,-,-,-,-,10,-,-,-,-,-,-,- - 20.0,-,-,20.0,70,-,10,-,-,-,99 70 29,99,70,29,78,78.8,54 77.1,54,77.1,24,82.8,43,43.4 31 44.3 12,43.4,31,44.3,12,41.4,42 30 12,42,30,12,35,83.3,26 86.7,26,86.7,9,75.0
659,ABERDARE FOREST,48,87.5,-,-,-,-,-,8.3 - -,8.3,-,-,4.2,-,-,-,-,10,-,-,-,-,-,-,- - 20.0,-,-,20.0,70,-,10,-,-,-,42 30 12,42,30,12,25,59.5,21 70.0,21,70.0,4,33.3,8,19.0 6 20.0 2,19.0,6,20.0,2,16.7,99 70 29,99,70,29,92,92.9,64 91.4,64,91.4,28,96.6
660,ABERDARE FOREST,48,87.5,-,-,-,-,-,8.3 - -,8.3,-,-,4.2,-,-,-,-,10,-,-,-,-,-,-,- - 20.0,-,-,20.0,70,-,10,-,-,-,42 30 12,42,30,12,25,59.5,21 70.0,21,70.0,4,33.3,8,19.0 6 20.0 2,19.0,6,20.0,2,16.7,42 30 12,42,30,12,35,83.3,26 86.7,26,86.7,9,75.0
661,ABERDARE FOREST,10,40,-,-,10,-,-,20.0 10.0 20.0,20.0,10.0,20.0,-,-,-,-,-,48,-,-,-,-,-,-,- - 8.3,-,-,8.3,66.7,-,25,-,-,-,99 70 29,99,70,29,78,78.8,54 77.1,54,77.1,24,82.8,43,43.4 31 44.3 12,43.4,31,44.3,12,41.4,99 70 29,99,70,29,92,92.9,64 91.4,64,91.4,28,96.6
662,ABERDARE FOREST,10,40,-,-,10,-,-,20.0 10.0 20.0,20.0,10.0,20.0,-,-,-,-,-,48,-,-,-,-,-,-,- - 8.3,-,-,8.3,66.7,-,25,-,-,-,99 70 29,99,70,29,78,78.8,54 77.1,54,77.1,24,82.8,43,43.4 31 44.3 12,43.4,31,44.3,12,41.4,42 30 12,42,30,12,35,83.3,26 86.7,26,86.7,9,75.0
663,ABERDARE FOREST,10,40,-,-,10,-,-,20.0 10.0 20.0,20.0,10.0,20.0,-,-,-,-,-,48,-,-,-,-,-,-,- - 8.3,-,-,8.3,66.7,-,25,-,-,-,42 30 12,42,30,12,25,59.5,21 70.0,21,70.0,4,33.3,8,19.0 6 20.0 2,19.0,6,20.0,2,16.7,99 70 29,99,70,29,92,92.9,64 91.4,64,91.4,28,96.6
664,ABERDARE FOREST,10,40,-,-,10,-,-,20.0 10.0 20.0,20.0,10.0,20.0,-,-,-,-,-,48,-,-,-,-,-,-,- - 8.3,-,-,8.3,66.7,-,25,-,-,-,42 30 12,42,30,12,25,59.5,21 70.0,21,70.0,4,33.3,8,19.0 6 20.0 2,19.0,6,20.0,2,16.7,42 30 12,42,30,12,35,83.3,26 86.7,26,86.7,9,75.0
665,ABERDARE FOREST,10,40,-,-,10,-,-,20.0 10.0 20.0,20.0,10.0,20.0,-,-,-,-,-,10,-,-,-,-,-,-,- - 20.0,-,-,20.0,70,-,10,-,-,-,99 70 29,99,70,29,78,78.8,54 77.1,54,77.1,24,82.8,43,43.4 31 44.3 12,43.4,31,44.3,12,41.4,99 70 29,99,70,29,92,92.9,64 91.4,64,91.4,28,96.6
666,ABERDARE FOREST,10,40,-,-,10,-,-,20.0 10.0 20.0,20.0,10.0,20.0,-,-,-,-,-,10,-,-,-,-,-,-,- - 20.0,-,-,20.0,70,-,10,-,-,-,99 70 29,99,70,29,78,78.8,54 77.1,54,77.1,24,82.8,43,43.4 31 44.3 12,43.4,31,44.3,12,41.4,42 30 12,42,30,12,35,83.3,26 86.7,26,86.7,9,75.0
667,ABERDARE FOREST,10,40,-,-,10,-,-,20.0 10.0 20.0,20.0,10.0,20.0,-,-,-,-,-,10,-,-,-,-,-,-,- - 20.0,-,-,20.0,70,-,10,-,-,-,42 30 12,42,30,12,25,59.5,21 70.0,21,70.0,4,33.3,8,19.0 6 20.0 2,19.0,6,20.0,2,16.7,99 70 29,99,70,29,92,92.9,64 91.4,64,91.4,28,96.6
668,ABERDARE FOREST,10,40,-,-,10,-,-,20.0 10.0 20.0,20.0,10.0,20.0,-,-,-,-,-,10,-,-,-,-,-,-,- - 20.0,-,-,20.0,70,-,10,-,-,-,42 30 12,42,30,12,25,59.5,21 70.0,21,70.0,4,33.3,8,19.0 6 20.0 2,19.0,6,20.0,2,16.7,42 30 12,42,30,12,35,83.3,26 86.7,26,86.7,9,75.0
