,County,Total_Population,Male_Population,Female_Population,Total_currently_attending_title,Male_currently_attending_title,Female_currently_attending_title,Total_currently_attending_County_Sub_County,Male_currently_attending_County_Sub_County,Female_currently_attending_County_Sub_County,Total_currently_attending_County_Sub_County_original,Male_currently_attending_County_Sub_County_original,Female_currently_attending_County_Sub_County_original,Total_currently_attending_Total_astrsk,Male_currently_attending_Total_astrsk,Female_currently_attending_Total_astrsk,Total_currently_attending_Pre_Primary,Male_currently_attending_Pre_Primary,Female_currently_attending_Pre_Primary,Total_currently_attending_Primary,Male_currently_attending_Primary,Female_currently_attending_Primary,Total_currently_attending_Secondary,Male_currently_attending_Secondary,Female_currently_attending_Secondary,Total_currently_attending_Middle_Level_slash_Technical_and_Vocational_Training_TVET,Male_currently_attending_Middle_Level_slash_Technical_and_Vocational_Training_TVET,Female_currently_attending_Middle_Level_slash_Technical_and_Vocational_Training_TVET,Total_currently_attending_University,Male_currently_attending_University,Female_currently_attending_University,Total_currently_attending_Adult_Basic_Education,Male_currently_attending_Adult_Basic_Education,Female_currently_attending_Adult_Basic_Education,Total_currently_attending_Madrasa_slash_Duksi,Male_currently_attending_Madrasa_slash_Duksi,Female_currently_attending_Madrasa_slash_Duksi,Total_currently_attending_Dont_Know,Male_currently_attending_Dont_Know,Female_currently_attending_Dont_Know,Total_currently_attending_Not_Stated,Male_currently_attending_Not_Stated,Female_currently_attending_Not_Stated,Total_highest_edu_title,Male_highest_edu_title,Female_highest_edu_title,Total_highest_edu_County_slash_Sub_County,Male_highest_edu_County_slash_Sub_County,Female_highest_edu_County_slash_Sub_County,Total_highest_edu_Total_astrsk,Male_highest_edu_Total_astrsk,Female_highest_edu_Total_astrsk,Total_highest_edu_Pre_Primary,Male_highest_edu_Pre_Primary,Female_highest_edu_Pre_Primary,Total_highest_edu_Primary,Male_highest_edu_Primary,Female_highest_edu_Primary,Total_highest_edu_Secondary,Male_highest_edu_Secondary,Female_highest_edu_Secondary,Total_highest_edu_Middle Level_Technical_and_Vocational_Training_TVET,Male_highest_edu_Middle Level_Technical_and_Vocational_Training_TVET,Female_highest_edu_Middle Level_Technical_and_Vocational_Training_TVET,Total_highest_edu_University,Male_highest_edu_University,Female_highest_edu_University,Total_highest_edu_Adult_Basic_Education,Male_highest_edu_Adult_Basic_Education,Female_highest_edu_Adult_Basic_Education,Total_highest_edu_Madrasa_slash_Duksi,Male_highest_edu_Madrasa_slash_Duksi,Female_highest_edu_Madrasa_slash_Duksi,Total_highest_edu_None,Male_highest_edu_None,Female_highest_edu_None,Total_highest_edu_Dont_Know,Male_highest_edu_Dont_Know,Female_highest_edu_Dont_Know,Total_highest_edu_Not_Stated,Male_highest_edu_Not_Stated,Female_highest_edu_Not_Stated
286,MUMIAS WEST,"53,145","26,655","26,490",MUMIAS WEST,MUMIAS WEST,MUMIAS WEST,Total,Male,Female,MUMIAS WEST,Male,Female,"53,145","26,655","26,490","9,722","5,020","4,702","32,085","16,010","16,075","9,552","4,699","4,853",859,382,477,814,481,333,48,26,22,1,1,-,64,36,28,-,-,-,MUMIAS WEST,MUMIAS WEST,MUMIAS WEST,MUMIAS WEST,Male,Female,"93,820","45,482","48,337","6,983","3,392","3,591","51,837","24,741","27,095","17,923","8,614","9,309","4,414","2,041","2,373","2,336","1,366",970,48,26,22,-,-,-,"10,038","5,182","4,856",70,70,452,50,51,197
287,NAVAKHOLO,"74,680","37,482","37,195",NAVAKHOLO,NAVAKHOLO,NAVAKHOLO,Total,Male,Female,NAVAKHOLO,Male,Female,"74,680","37,482","37,195","13,717","7,010","6,706","46,721","23,375","23,345","12,104","5,898","6,206","1,254",647,607,694,438,256,71,41,30,-,-,-,119,73,45,-,-,-,NAVAKHOLO,NAVAKHOLO,NAVAKHOLO,NAVAKHOLO,Male,Female,"126,072","60,632","65,434","7,241","3,645","3,596","75,602","35,558","40,040","22,521","10,599","11,921","4,445","2,315","2,130","1,474",968,506,68,38,30,-,-,-,"14,072","7,179","6,892",240,212,"1,365",90,107,566
288,VIHIGA,"257,982","129,422","128,556",VIHIGA,VIHIGA,VIHIGA,Total,Male,Female,VIHIGA,Male,Female,"257,982","129,422","128,556","42,486","21,635","20,850","155,773","78,677","77,094","49,704","23,738","25,966","5,490","2,746","2,743","3,864","2,250","1,614",253,124,129,3,3,-,409,249,160,-,-,-,VIHIGA,VIHIGA,VIHIGA,VIHIGA,Male,Female,"502,269","243,452","258,808","32,648","16,404","16,244","281,893","135,227","146,661","107,602","50,536","57,065","24,665","12,067","12,596","9,590","5,849","3,741",237,124,113,2,2,-,"43,701","22,234","21,466",696,669,210,313,253,73
289,EMUHAYA,"42,853","21,470","21,383",EMUHAYA,EMUHAYA,EMUHAYA,Total,Male,Female,EMUHAYA,Male,Female,"42,853","21,470","21,383","7,647","3,934","3,713","26,601","13,363","13,238","7,332","3,477","3,855",720,363,357,447,269,178,34,19,15,1,1,-,71,44,27,-,-,-,EMUHAYA,EMUHAYA,EMUHAYA,EMUHAYA,Male,Female,"81,673","39,406","42,266","5,978","2,938","3,040","47,872","22,834","25,037","15,435","7,135","8,300","3,114","1,575","1,539","1,112",710,402,30,19,11,-,-,-,"7,849","4,032","3,817",118,92,242,45,28,101
290,SABATIA,"57,435","28,652","28,782",SABATIA,SABATIA,SABATIA,Total,Male,Female,SABATIA,Male,Female,"57,435","28,652","28,782","8,827","4,459","4,367","34,581","17,366","17,215","11,624","5,593","6,031","1,368",656,712,917,503,414,22,12,10,1,1,-,95,62,33,-,-,-,SABATIA,SABATIA,SABATIA,SABATIA,Male,Female,"113,939","54,898","59,040","6,183","3,077","3,106","62,641","29,860","32,781","26,961","12,737","14,224","6,265","3,001","3,264","2,460","1,468",992,23,11,12,-,-,-,"8,980","4,537","4,442",148,176,242,59,43,99
291,LUANDA,"45,308","22,740","22,568",LUANDA,LUANDA,LUANDA,Total,Male,Female,LUANDA,Male,Female,"45,308","22,740","22,568","8,093","4,113","3,980","27,327","13,772","13,555","8,121","3,876","4,245",883,458,425,753,453,300,47,22,25,-,-,-,84,46,38,-,-,-,LUANDA,LUANDA,LUANDA,LUANDA,Male,Female,"89,866","43,850","46,014","7,307","3,749","3,558","49,102","23,652","25,449","18,675","8,759","9,915","4,344","2,199","2,145","1,698","1,033",665,39,20,19,-,-,-,"8,360","4,244","4,116",137,105,347,57,42,191
292,HAMISI,"71,281","35,931","35,347",HAMISI,HAMISI,HAMISI,Total,Male,Female,HAMISI,Male,Female,"71,281","35,931","35,347","11,083","5,625","5,458","43,447","22,116","21,329","14,045","6,742","7,303","1,400",690,709,"1,085",641,444,121,55,66,1,1,-,99,61,38,-,-,-,HAMISI,HAMISI,HAMISI,HAMISI,Male,Female,"134,736","65,717","69,016","9,775","4,925","4,850","77,013","37,328","39,683","27,209","12,829","14,380","6,029","2,903","3,125","2,477","1,524",953,117,56,61,2,2,-,"11,576","5,869","5,707",180,167,-,101,90,-
293,KAKAMEGA FOREST,1,-,1,KAKAMEGA FOREST,KAKAMEGA FOREST,KAKAMEGA FOREST,Total,Male,Female,KAKAMEGA FOREST,Male,Female,1,-,1,-,-,-,-,-,-,-,-,-,1,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KAKAMEGA FOREST,KAKAMEGA FOREST,KAKAMEGA FOREST,KAKAMEGA FOREST,Male,Female,16,12,4,-,-,-,2,1,1,11,9,2,3,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,219",-,-,"2,295"
294,BUNGOMA,"782,677","396,144","386,512",BUNGOMA,BUNGOMA,BUNGOMA,Total,Male,Female,BUNGOMA,Male,Female,"782,677","396,144","386,512","140,454","71,721","68,729","461,621","234,479","227,130","148,766","72,938","75,823","17,041","8,172","8,869","12,445","7,512","4,933",805,421,384,11,6,5,"1,534",895,639,-,-,-,BUNGOMA,BUNGOMA,BUNGOMA,BUNGOMA,Male,Female,"1,371,156","670,362","700,766","82,508","40,789","41,716","735,200","351,525","383,661","305,720","149,597","156,117","69,584","34,340","35,243","28,992","17,884","11,108",791,412,379,3,1,2,"143,844","73,318","70,522","1,246",973,190,"1,250","1,045",177
295,BUMULA,"102,696","51,685","51,010",BUMULA,BUMULA,BUMULA,Total,Male,Female,BUMULA,Male,Female,"102,696","51,685","51,010","18,704","9,493","9,211","63,464","32,073","31,390","17,670","8,535","9,135","1,704",861,843,890,562,328,109,68,41,-,-,-,155,93,62,-,-,-,BUMULA,BUMULA,BUMULA,BUMULA,Male,Female,"172,337","83,438","88,898","13,855","6,714","7,141","99,885","47,198","52,686","30,745","15,015","15,730","6,298","3,225","3,073","2,022","1,325",697,109,67,42,1,1,-,"19,055","9,668","9,387",112,78,217,113,64,431
296,BUNGOMA CENTRAL,"83,204","41,882","41,319",BUNGOMA CENTRAL,BUNGOMA CENTRAL,BUNGOMA CENTRAL,Total,Male,Female,BUNGOMA CENTRAL,Male,Female,"83,204","41,882","41,319","15,040","7,638","7,402","48,733","24,630","24,101","15,838","7,598","8,239","2,028",993,"1,035","1,187",814,373,60,31,29,1,-,1,317,178,139,-,-,-,BUNGOMA CENTRAL,BUNGOMA CENTRAL,BUNGOMA CENTRAL,BUNGOMA CENTRAL,Male,Female,"147,962","72,091","75,866","8,588","4,246","4,342","78,954","37,577","41,375","34,534","16,730","17,802","7,417","3,788","3,628","2,387","1,576",811,61,34,27,-,-,-,"15,373","7,792","7,581",117,100,188,231,200,173
297,BUNGOMA EAST,"54,673","27,756","26,916",BUNGOMA EAST,BUNGOMA EAST,BUNGOMA EAST,Total,Male,Female,BUNGOMA EAST,Male,Female,"54,673","27,756","26,916","9,994","5,105","4,889","31,446","16,097","15,349","11,140","5,474","5,665","1,166",530,636,793,468,325,36,17,19,1,-,1,97,65,32,-,-,-,BUNGOMA EAST,BUNGOMA EAST,BUNGOMA EAST,BUNGOMA EAST,Male,Female,"97,994","47,819","50,173","5,527","2,818","2,709","50,871","24,349","26,521","23,983","11,624","12,358","5,006","2,394","2,612","1,988","1,194",794,39,19,20,-,-,-,"10,219","5,208","5,011",112,76,135,101,72,67
298,BUNGOMA NORTH,"58,637","29,768","28,868",BUNGOMA NORTH,BUNGOMA NORTH,BUNGOMA NORTH,Total,Male,Female,BUNGOMA NORTH,Male,Female,"58,637","29,768","28,868","9,582","4,938","4,644","34,348","17,558","16,790","12,304","6,019","6,284","1,381",640,741,896,547,349,37,15,22,1,-,1,88,51,37,-,-,-,BUNGOMA NORTH,BUNGOMA NORTH,BUNGOMA NORTH,BUNGOMA NORTH,Male,Female,"102,879","49,950","52,928","4,589","2,377","2,212","55,882","26,733","29,149","25,177","11,814","13,362","5,177","2,583","2,594","2,053","1,301",752,33,15,18,-,-,-,"9,766","5,014","4,752",76,59,481,37,30,457
299,BUNGOMA SOUTH,"127,072","63,234","63,836",BUNGOMA SOUTH,BUNGOMA SOUTH,BUNGOMA SOUTH,Total,Male,Female,BUNGOMA SOUTH,Male,Female,"127,072","63,234","63,836","22,623","11,509","11,114","69,457","34,568","34,887","25,799","12,311","13,488","4,099","1,921","2,178","4,619","2,659","1,960",231,123,108,4,3,1,240,140,100,-,-,-,BUNGOMA SOUTH,BUNGOMA SOUTH,BUNGOMA SOUTH,BUNGOMA SOUTH,Male,Female,"232,497","113,113","119,380","11,869","5,760","6,109","109,857","52,481","57,373","57,675","27,800","29,874","18,310","8,499","9,811","10,400","6,140","4,260",223,120,103,1,-,1,"23,224","11,792","11,432",279,202,144,242,215,323
300,CHEPTAIS,"64,726","33,517","31,205",CHEPTAIS,CHEPTAIS,CHEPTAIS,Total,Male,Female,CHEPTAIS,Male,Female,"64,726","33,517","31,205","13,309","6,903","6,404","39,912","20,560","19,350","10,080","5,238","4,842",710,340,370,476,335,141,85,43,42,-,-,-,154,98,56,-,-,-,CHEPTAIS,CHEPTAIS,CHEPTAIS,CHEPTAIS,Male,Female,"107,151","53,943","53,203","7,582","3,740","3,841","62,471","30,264","32,205","18,914","10,259","8,655","2,968","1,628","1,340",999,697,302,84,43,41,-,-,-,"13,666","7,061","6,603",75,69,337,176,147,172
301,KIMILILI,"74,973","37,873","37,097",KIMILILI,KIMILILI,KIMILILI,Total,Male,Female,KIMILILI,Male,Female,"74,973","37,873","37,097","12,656","6,404","6,252","44,550","22,614","21,933","14,913","7,337","7,576","1,624",795,829,973,589,384,78,37,41,2,1,1,177,96,81,-,-,-,KIMILILI,KIMILILI,KIMILILI,KIMILILI,Male,Female,"131,584","63,964","67,617","8,615","4,235","4,378","69,512","33,311","36,200","30,479","14,624","15,855","6,584","3,224","3,360","2,781","1,693","1,088",73,33,40,1,-,1,"13,030","6,580","6,450",179,158,31,85,87,33
302,MT. ELGON,"38,081","19,547","18,532",MT. ELGON,MT. ELGON,MT. ELGON,Total,Male,Female,MT. ELGON,Male,Female,"38,081","19,547","18,532","6,680","3,398","3,281","22,573","11,628","10,944","7,602","3,874","3,728",619,273,346,551,340,211,31,17,14,-,-,-,25,17,8,-,-,-,MT. ELGON,MT. ELGON,MT. ELGON,MT. ELGON,Male,Female,"64,470","32,347","32,120","3,103","1,562","1,541","36,824","17,825","18,997","13,740","7,314","6,426","2,791","1,417","1,374","1,142",733,409,28,14,14,-,-,-,"6,778","3,448","3,329",17,14,152,17,16,238
303,BUNGOMA WEST,"56,958","28,777","28,180",BUNGOMA WEST,BUNGOMA WEST,BUNGOMA WEST,Total,Male,Female,BUNGOMA WEST,Male,Female,"56,958","28,777","28,180","10,704","5,456","5,248","34,973","17,727","17,246","9,559","4,660","4,898","1,047",525,522,482,310,172,86,41,45,-,-,-,107,58,49,-,-,-,BUNGOMA WEST,BUNGOMA WEST,BUNGOMA WEST,BUNGOMA WEST,Male,Female,"98,358","48,203","50,154","5,592","2,798","2,794","56,048","26,621","29,426","19,893","9,953","9,940","4,051","2,135","1,916","1,190",797,393,91,42,49,-,-,-,"11,103","5,651","5,452",83,69,160,123,115,49
304,TONGAREN,"47,790","24,466","23,323",TONGAREN,TONGAREN,TONGAREN,Total,Male,Female,TONGAREN,Male,Female,"47,790","24,466","23,323","7,816","4,002","3,814","28,341","14,623","13,718","10,000","4,979","5,020",969,486,483,577,333,244,22,10,12,1,1,-,64,32,32,-,-,-,TONGAREN,TONGAREN,TONGAREN,TONGAREN,Male,Female,"83,916","40,937","42,978","4,496","2,309","2,187","45,665","21,956","23,709","20,040","9,488","10,551","4,110","2,094","2,016","1,397",894,503,20,7,13,-,-,-,"7,979","4,082","3,897",80,80,181,27,22,173
305,WEBUYE WEST,"72,319","36,806","35,511",WEBUYE WEST,WEBUYE WEST,WEBUYE WEST,Total,Male,Female,WEBUYE WEST,Male,Female,"72,319","36,806","35,511","13,004","6,694","6,309","42,802","21,855","20,946","13,687","6,813","6,874","1,693",807,886,994,551,443,28,18,10,1,1,-,110,67,43,-,-,-,WEBUYE WEST,WEBUYE WEST,WEBUYE WEST,WEBUYE WEST,Male,Female,"129,406","63,162","66,242","8,622","4,202","4,420","67,389","32,230","35,158","30,237","14,796","15,441","6,851","3,340","3,511","2,623","1,529","1,094",28,17,11,-,-,-,"13,302","6,837","6,464",114,67,3,97,76,2
306,MT. ELGON FOREST,"1,548",833,715,MT. ELGON FOREST,MT. ELGON FOREST,MT. ELGON FOREST,Total,Male,Female,MT. ELGON FOREST,Male,Female,"1,548",833,715,342,181,161,"1,022",546,476,174,100,74,1,1,0,7,4,3,2,1,1,-,-,-,-,-,-,-,-,-,MT. ELGON FOREST,MT. ELGON FOREST,MT. ELGON FOREST,MT. ELGON FOREST,Male,Female,"2,602","1,395","1,207",70,28,42,"1,842",980,862,303,180,123,21,13,8,10,5,5,2,1,1,-,-,-,349,185,164,2,1,"1,069",1,1,702
307,BUSIA,"405,072","202,993","202,061",BUSIA,BUSIA,BUSIA,Total,Male,Female,BUSIA,Male,Female,"405,072","202,993","202,061","75,339","38,083","37,252","243,572","121,425","122,134","73,272","36,562","36,710","7,042","3,470","3,571","4,807","2,846","1,961",436,245,191,9,6,3,595,356,239,-,-,-,BUSIA,BUSIA,BUSIA,BUSIA,Male,Female,"712,283","346,688","365,573","49,016","23,629","25,385","406,074","191,628","214,432","136,243","69,006","67,235","29,375","14,690","14,685","12,155","7,582","4,573",416,237,179,3,2,1,"77,230","38,932","38,294",580,489,144,402,300,78
308,BUNYALA,"38,459","19,533","18,926",BUNYALA,BUNYALA,BUNYALA,Total,Male,Female,BUNYALA,Male,Female,"38,459","19,533","18,926","7,696","3,860","3,836","23,270","11,720","11,550","6,275","3,246","3,029",639,343,296,464,292,172,33,14,19,1,1,-,81,57,24,-,-,-,BUNYALA,BUNYALA,BUNYALA,BUNYALA,Male,Female,"69,899","34,803","35,095","4,572","2,181","2,391","41,287","19,524","21,762","12,586","6,986","5,600","2,443","1,394","1,049",901,629,272,24,11,13,-,-,-,"7,864","3,943","3,921",78,66,146,57,21,140
309,BUTULA,"65,364","32,668","32,695",BUTULA,BUTULA,BUTULA,Total,Male,Female,BUTULA,Male,Female,"65,364","32,668","32,695","11,409","5,807","5,602","40,825","20,323","20,502","11,417","5,601","5,816",896,427,468,626,398,228,108,67,41,1,-,1,82,45,37,-,-,-,BUTULA,BUTULA,BUTULA,BUTULA,Male,Female,"108,839","51,941","56,896","10,179","4,793","5,386","63,124","29,408","33,715","18,253","8,791","9,461","3,510","1,728","1,782","1,557","1,009",548,105,65,40,1,1,-,"11,835","5,996","5,839",101,85,127,49,40,114
310,NAMBALE,"52,698","26,187","26,509",NAMBALE,NAMBALE,NAMBALE,Total,Male,Female,NAMBALE,Male,Female,"52,698","26,187","26,509","8,669","4,319","4,350","32,505","16,260","16,243","9,750","4,680","5,070",953,449,504,683,398,285,37,20,17,1,1,-,100,60,40,-,-,-,NAMBALE,NAMBALE,NAMBALE,NAMBALE,Male,Female,"89,790","43,172","46,615","5,512","2,769","2,743","53,030","25,010","28,017","16,681","8,036","8,645","3,588","1,697","1,891","1,681","1,024",657,41,24,17,1,1,-,"9,015","4,471","4,544",76,51,136,64,50,50
311,SAMIA,"48,054","24,303","23,739",SAMIA,SAMIA,SAMIA,Total,Male,Female,SAMIA,Male,Female,"48,054","24,303","23,739","8,939","4,501","4,435","29,061","14,522","14,530","8,719","4,519","4,200",720,388,332,487,293,194,67,44,23,2,2,-,59,34,25,-,-,-,SAMIA,SAMIA,SAMIA,SAMIA,Male,Female,"85,399","41,813","43,574","6,343","2,991","3,351","49,234","23,147","26,079","15,856","8,349","7,507","3,256","1,741","1,515","1,279",849,430,61,41,20,-,-,-,"9,184","4,595","4,586",76,60,184,24,26,70
312,TESO NORTH,"63,423","31,916","31,506",TESO NORTH,TESO NORTH,TESO NORTH,Total,Male,Female,TESO NORTH,Male,Female,"63,423","31,916","31,506","12,242","6,227","6,014","37,069","18,509","18,560","12,126","6,087","6,039","1,152",583,569,711,440,271,54,28,26,2,1,1,67,41,26,-,-,-,TESO NORTH,TESO NORTH,TESO NORTH,TESO NORTH,Male,Female,"113,783","55,450","58,332","6,640","3,230","3,410","63,085","29,675","33,410","24,552","12,526","12,026","5,030","2,471","2,559","1,748","1,073",675,52,26,26,1,-,1,"12,421","6,307","6,113",102,82,146,40,30,161
313,TESO SOUTH,"76,588","38,376","38,211",TESO SOUTH,TESO SOUTH,TESO SOUTH,Total,Male,Female,TESO SOUTH,Male,Female,"76,588","38,376","38,211","15,425","7,874","7,551","44,867","22,212","22,654","13,796","7,003","6,793","1,384",668,716,920,512,408,93,54,39,1,-,1,102,53,49,-,-,-,TESO SOUTH,TESO SOUTH,TESO SOUTH,TESO SOUTH,Male,Female,"132,612","64,980","67,630","9,436","4,575","4,861","74,262","35,421","38,840","24,608","12,449","12,158","5,804","2,879","2,925","2,401","1,420",981,93,54,39,-,-,-,"15,701","8,013","7,688",77,69,"1,880",92,69,"1,360"
314,SIAYA,"441,450","223,195","218,250",SIAYA,SIAYA,SIAYA,Total,Male,Female,SIAYA,Male,Female,"441,450","223,195","218,250","85,951","43,855","42,094","261,013","131,985","129,027","77,243","38,147","39,096","8,682","3,974","4,707","7,546","4,665","2,881",235,124,111,12,9,3,768,436,331,-,-,-,SIAYA,SIAYA,SIAYA,SIAYA,Male,Female,"824,640","399,523","425,101","45,208","22,184","23,024","484,845","227,211","257,624","157,416","77,742","79,672","31,637","16,374","15,261","14,819","9,655","5,164",218,120,98,6,2,4,"87,251","44,475","42,774","1,035",845,532,725,635,256
315,SIAYA SUBCOUNTY,"97,831","49,139","48,691",SIAYA SUBCOUNTY,SIAYA SUBCOUNTY,SIAYA SUBCOUNTY,Total,Male,Female,SIAYA SUBCOUNTY,Male,Female,"97,831","49,139","48,691","19,091","9,773","9,318","58,313","29,239","29,074","16,472","8,114","8,358","2,121",914,"1,207","1,632",986,646,41,22,19,1,1,-,160,90,69,-,-,-,SIAYA SUBCOUNTY,SIAYA SUBCOUNTY,SIAYA SUBCOUNTY,SIAYA,Male,Female,"183,103","88,402","94,697","10,053","4,946","5,107","108,404","50,788","57,614","33,606","16,427","17,177","7,362","3,659","3,703","3,516","2,246","1,270",41,22,19,-,-,-,"19,333","9,881","9,452",299,233,246,134,122,171
316,GEM,"79,914","40,606","39,306",GEM,GEM,GEM,Total,Male,Female,GEM,Male,Female,"79,914","40,606","39,306","15,320","7,881","7,437","48,491","24,778","23,713","13,551","6,616","6,935","1,378",616,762,"1,054",647,407,20,8,12,-,-,-,100,60,40,-,-,-,GEM,GEM,GEM,GEM,Male,Female,"150,388","73,231","77,154","7,601","3,852","3,749","92,190","43,648","48,541","27,017","13,221","13,796","5,247","2,713","2,534","2,381","1,576",805,17,7,10,2,-,2,"15,516","7,977","7,537",134,112,160,103,68,107
317,UGENYA,"60,785","31,007","29,777",UGENYA,UGENYA,UGENYA,Total,Male,Female,UGENYA,Male,Female,"60,785","31,007","29,777","11,524","5,946","5,578","36,457","18,592","17,865","11,099","5,535","5,564",814,374,439,760,485,275,36,19,17,1,-,1,94,56,38,-,-,-,UGENYA,UGENYA,UGENYA,UGENYA,Male,Female,"108,513","52,294","56,215","5,921","2,936","2,985","66,949","31,239","35,708","19,045","9,310","9,735","3,057","1,591","1,464","1,520","1,003",517,36,23,13,-,-,-,"11,718","6,049","5,669",87,73,238,56,51,99
318,UGUNJA,"46,310","23,305","23,005",UGUNJA,UGUNJA,UGUNJA,Total,Male,Female,UGUNJA,Male,Female,"46,310","23,305","23,005","8,790","4,399","4,391","27,498","13,855","13,643","8,573","4,291","4,282",763,366,397,592,349,243,29,14,15,2,1,1,63,30,33,-,-,-,UGUNJA,UGUNJA,UGUNJA,UGUNJA,Male,Female,"86,090","41,391","44,699","4,483","2,188","2,295","50,731","23,595","27,136","16,703","8,273","8,430","3,266","1,656","1,610","1,551",994,557,24,12,12,-,-,-,"8,995","4,495","4,500",127,111,431,51,48,398
319,BONDO,"86,934","43,785","43,148",BONDO,BONDO,BONDO,Total,Male,Female,BONDO,Male,Female,"86,934","43,785","43,148","17,485","8,881","8,604","49,755","24,920","24,834","14,647","7,154","7,493","2,188","1,035","1,153","2,595","1,639",956,57,32,25,3,3,-,204,121,83,-,-,-,BONDO,BONDO,BONDO,BONDO,Male,Female,"167,724","81,899","85,822","9,211","4,453","4,758","93,517","43,980","49,534","34,959","17,517","17,442","7,657","4,017","3,640","3,814","2,468","1,346",50,27,23,4,2,2,"17,683","8,988","8,695",242,189,273,205,193,329
320,RARIEDA,"69,676","35,353","34,323",RARIEDA,RARIEDA,RARIEDA,Total,Male,Female,RARIEDA,Male,Female,"69,676","35,353","34,323","13,741","6,975","6,766","40,499","20,601","19,898","12,901","6,437","6,464","1,418",669,749,913,559,354,52,29,23,5,4,1,147,79,68,-,-,-,RARIEDA,RARIEDA,RARIEDA,RARIEDA,Male,Female,"128,822","62,306","66,514","7,939","3,809","4,130","73,054","33,961","39,091","26,086","12,994","13,092","5,048","2,738","2,310","2,037","1,368",669,50,29,21,-,-,-,"14,006","7,085","6,921",146,127,"1,800",176,153,"1,231"
321,KISUMU,"504,812","253,600","251,209",KISUMU,KISUMU,KISUMU,Total,Male,Female,KISUMU,Male,Female,"504,812","253,600","251,209","95,270","48,333","46,937","277,804","139,309","138,492","96,895","47,712","49,183","16,444","7,820","8,624","17,317","9,852","7,465",349,184,165,10,7,3,723,383,340,-,-,-,KISUMU,KISUMU,KISUMU,KISUMU,Male,Female,"978,105","478,889","499,198","53,362","26,015","27,347","481,724","227,318","254,395","236,991","118,712","118,274","69,207","34,237","34,970","36,298","21,556","14,740",332,179,153,2,-,2,"97,158","49,221","47,937","1,007",793,318,644,587,216
322,KISUMU EAST,"89,998","44,568","45,429",KISUMU EAST,KISUMU EAST,KISUMU EAST,Total,Male,Female,KISUMU EAST,Male,Female,"89,998","44,568","45,429","17,974","9,113","8,861","47,373","23,348","24,024","17,091","8,180","8,911","4,141","2,030","2,111","3,272","1,824","1,448",50,24,26,3,3,-,94,46,48,-,-,-,KISUMU EAST,KISUMU EAST,KISUMU EAST,KISUMU EAST,Male,Female,"189,994","93,726","96,264","8,603","4,166","4,437","84,724","40,239","44,483","51,866","26,179","25,685","17,508","8,609","8,899","8,403","4,944","3,459",46,25,21,1,-,1,"18,309","9,278","9,031",184,134,461,102,114,194
323,KISUMU CENTRAL,"68,344","32,743","35,601",KISUMU CENTRAL,KISUMU CENTRAL,KISUMU CENTRAL,Total,Male,Female,KISUMU CENTRAL,Male,Female,"68,344","32,743","35,601","11,653","5,759","5,894","32,392","15,639","16,753","14,772","6,782","7,990","4,683","2,072","2,611","4,663","2,398","2,265",30,15,15,2,-,2,149,78,71,-,-,-,KISUMU CENTRAL,KISUMU CENTRAL,KISUMU CENTRAL,KISUMU CENTRAL,Male,Female,"151,206","72,527","78,675","4,397","2,148","2,249","54,494","25,141","29,352","46,601","22,651","23,948","20,162","9,196","10,966","13,117","7,228","5,888",15,8,7,1,-,1,"11,764","5,809","5,955",248,213,252,98,96,270
324,KISUMU WEST,"75,229","38,152","37,077",KISUMU WEST,KISUMU WEST,KISUMU WEST,Total,Male,Female,KISUMU WEST,Male,Female,"75,229","38,152","37,077","13,371","6,837","6,534","40,444","20,242","20,202","13,930","6,930","7,000","2,316","1,101","1,215","5,027","2,962","2,065",60,31,29,2,2,-,79,47,32,-,-,-,KISUMU WEST,KISUMU WEST,KISUMU WEST,KISUMU WEST,Male,Female,"145,629","72,142","73,484","7,983","3,929","4,054","72,200","34,364","37,833","36,548","18,616","17,932","9,583","4,863","4,720","5,048","3,038","2,010",57,27,30,-,-,-,"13,688","7,001","6,687",157,95,139,147,123,75
325,SEME,"56,390","28,762","27,628",SEME,SEME,SEME,Total,Male,Female,SEME,Male,Female,"56,390","28,762","27,628","10,567","5,358","5,209","33,461","17,088","16,373","10,618","5,357","5,261",915,437,478,734,475,259,54,25,29,-,-,-,41,22,19,-,-,-,SEME,SEME,SEME,SEME,Male,Female,"101,033","48,927","52,105","6,920","3,339","3,581","58,179","27,242","30,937","19,439","9,688","9,751","3,746","1,960","1,786","1,648","1,092",555,53,24,29,-,-,-,"10,834","5,471","5,363",72,67,222,39,36,185
326,MUHORONI,"68,825","35,108","33,716",MUHORONI,MUHORONI,MUHORONI,Total,Male,Female,MUHORONI,Male,Female,"68,825","35,108","33,716","13,942","7,118","6,824","40,448","20,497","19,950","12,052","6,176","5,876","1,231",626,605,998,601,397,47,29,18,-,-,-,107,61,46,-,-,-,MUHORONI,MUHORONI,MUHORONI,MUHORONI,Male,Female,"127,218","64,017","63,200","7,931","3,921","4,010","71,306","34,618","36,687","25,605","13,441","12,164","5,412","3,036","2,376","2,226","1,472",754,54,33,21,-,-,-,"14,277","7,278","6,999",123,99,195,95,90,149
