County_slash_Sub_County,Total,Conventional_and_Group_Quarters,Conventional,Group_Quarters,TenureStatus_ConventionalHouseholds_Owned_Number,Owned_pct_Rented_num_Rented_pct_Not_Stated_num,TenureStatus_ConventionalHouseholds_Owned_pct,TenureStatus_ConventionalHouseholds_Rented_Slash_Provided_Number,TenureStatus_ConventionalHouseholds_Rented_Slash_Provided_Pct,TenureStatus_ConventionalHouseholds_Rented_Slash_Provided_Not_Stated_Number,TenureStatus_ConventionalHouseholds_Rented_Slash_Provided_Not_Stated_Pct
KIAMBAA,"80,332","80,316 16",,,"24,745","30.8 55,535 69.1 36",,,,,0
KIAMBU,"47,275","46,816 459",,,"15,786","33.7 31,003 66.2 27",,,,,0.1
KIKUYU,"60,686","60,619 67",,,"24,005","39.6 36,606 60.4 8",,,,,0
LARI,"38,592","38,585 7",,,"25,647","66.5 12,933 33.5 5",,,,,0
LIMURU,"49,174","49,096 78",,,"22,447","45.7 26,637 54.3 12",,,,,0
RUIRU,"129,470","127,910 1,560",,,"20,435","16.0 107,423 84.0 52",,,,,0
THIKA EAST,"12,736","12,736 -",,,"5,987","47.0 6,743 52.9 6",,,,,0
THIKA WEST,"89,458","89,089 369",,,"12,178","13.7 76,880 86.3 31",,,,,0
TURKANA,"164,519","162,627 1,892",,,"137,157","84.3 25,351 15.6 119",,,,,0.1
KIBISH,"5,805","5,699 106",,,"5,651",99.2 48 0.8 -,,,,,-
LOIMA,"19,438","19,139 299",,,"18,864",98.6 255 1.3 20,,,,,0.1
TURKANA CENTRAL,"38,173","37,917 256",,,"28,484","75.1 9,422 24.8 11",,,,,0
TURKANA EAST,"17,981","17,887 94",,,"17,396",97.3 473 2.6 18,,,,,0.1
TURKANA NORTH,"13,119","12,964 155",,,"12,482",96.3 481 3.7 1,,,,,0
TURKANA SOUTH,"24,552","24,281 271",,,"20,968","86.4 3,300 13.6 13",,,,,0.1
TURKANA WEST,"45,451","44,740 711",,,"33,312","74.5 11,372 25.4 56",,,,,0.1
WEST POKOT,"116,182","115,761 421",,,"101,538","87.7 14,192 12.3 31",,,,,0
KIPKOMO,"18,370","18,367 3",,,"15,894","86.5 2,473 13.5 -",,,,,-
POKOT CENTRAL,"21,850","21,784 66",,,"20,732","95.2 1,048 4.8 4",,,,,0
POKOT NORTH,"25,804","25,736 68",,,"24,640","95.7 1,079 4.2 17",,,,,0.1
POKOT SOUTH,"13,817","13,752 65",,,"12,693","92.3 1,059 7.7 -",,,,,-
WEST POKOT,"36,341","36,122 219",,,"27,579","76.3 8,533 23.6 10",,,,,0
SAMBURU,"65,910","63,951 1,959",,,"54,402","85.1 9,543 14.9 6",,,,,0
SAMBURU CENTRAL,"34,202","33,720 482",,,"27,041","80.2 6,675 19.8 4",,,,,0
SAMBURU EAST,"18,424","17,307 1,117",,,"15,358","88.7 1,949 11.3 -",,,,,-
SAMBURU NORTH,"13,284","12,924 360",,,"12,003",92.9 919 7.1 2,,,,,0
TRANS NZOIA,"223,808","222,989 819",,,"150,986","67.7 71,976 32.3 27",,,,,0
TRANS NZOIA WEST,"47,603","47,576 27",,,"24,745","52.0 22,818 48.0 13",,,,,0
TRANS NZOIA EAST,"50,017","49,955 62",,,"38,841","77.8 11,112 22.2 2",,,,,0
KWANZA,"45,752","45,599 153",,,"32,892","72.1 12,703 27.9 4",,,,,0
ENDEBESS,"23,705","23,246 459",,,"17,323","74.5 5,921 25.5 2",,,,,0
KIMININI,"56,731","56,613 118",,,"37,185","65.7 19,422 34.3 6",,,,,0
UASIN GISHU,"304,943","301,110 3,833",,,"153,094","50.8 147,951 49.1 65",,,,,0
AINABKOI,"34,892","34,862 30",,,"18,637","53.5 16,218 46.5 7",,,,,0
KAPSERET,"59,746","59,678 68",,,"18,690","31.3 40,966 68.6 22",,,,,0
KESSES,"34,653","34,623 30",,,"24,512","70.8 10,104 29.2 7",,,,,0
MOIBEN,"46,729","46,602 127",,,"24,383","52.3 22,214 47.7 5",,,,,0
SOY,"53,784","53,758 26",,,"35,993","67.0 17,758 33.0 7",,,,,0
TURBO,"75,139","71,587 3,552",,,"30,879","43.1 40,691 56.8 17",,,,,0
ELGEYO/MARAKWET,"99,861","99,119 742",,,"81,228","81.9 17,868 18.0 23",,,,,0
KEIYO NORTH,"21,947","21,749 198",,,"16,597","76.3 5,146 23.7 6",,,,,0
KEIYO SOUTH,"27,029","26,740 289",,,"22,984","86.0 3,750 14.0 6",,,,,0
MARAKWET EAST,"21,362","21,123 239",,,"18,654","88.3 2,468 11.7 1",,,,,0
MARAKWET WEST,"29,523","29,507 16",,,"22,993","77.9 6,504 22.0 10",,,,,0
NANDI,"199,426","199,040 386",,,"156,477","78.6 42,536 21.4 27",,,,,0
CHESUMEI,"39,051","39,011 40",,,"28,645","73.4 10,363 26.6 3",,,,,0
NANDI CENTRAL,"34,400","34,247 153",,,"25,900","75.6 8,346 24.4 1",,,,,0
NANDI EAST,"29,253","29,249 4",,,"16,813","57.5 12,427 42.5 9",,,,,0
NANDI NORTH,"35,297","35,257 40",,,"32,065","90.9 3,185 9.0 7",,,,,0
NANDI SOUTH,"37,094","37,038 56",,,"32,931","88.9 4,105 11.1 2",,,,,0
TINDERET,"24,331","24,238 93",,,"20,123","83.0 4,110 17.0 5",,,,,0
BARINGO,"142,518","141,877 641",,,"113,578","80.1 28,282 19.9 17",,,,,0
BARINGO CENTRAL,"23,555","23,523 32",,,"17,167","73.0 6,352 27.0 4",,,,,0
BARINGO NORTH,"23,500","23,345 155",,,"21,193","90.8 2,151 9.2 1",,,,,0
EAST POKOT,"14,498","14,392 106",,,"13,750",95.5 642 4.5 -,,,,,-
KOIBATEK,"30,774","30,752 22",,,"20,125","65.4 10,622 34.5 5",,,,,0
MARIGAT,"19,854","19,658 196",,,"15,064","76.6 4,590 23.3 4",,,,,0
MOGOTIO,"18,184","18,169 15",,,"14,836","81.7 3,333 18.3 -",,,,,-
TIATY EAST,"12,153","12,038 115",,,"11,443",95.1 592 4.9 3,,,,,0
LAIKIPIA,"149,271","145,776 3,495",,,"88,923","61.0 56,835 39.0 18",,,,,0
LAIKIPIA CENTRAL,"30,372","29,877 495",,,"18,707","62.6 11,165 37.4 5",,,,,0
LAIKIPIA EAST,"33,505","31,311 2,194",,,"14,013","44.8 17,295 55.2 3",,,,,0
LAIKIPIA NORTH,"7,752","7,694 58",,,"6,600","85.8 1,093 14.2 1",,,,,0
LAIKIPIA WEST,"33,025","32,821 204",,,"24,232","73.8 8,582 26.1 7",,,,,0
NYAHURURU,"44,617","44,073 544",,,"25,371","57.6 18,700 42.4 2",,,,,0
NAKURU,"616,046","598,237 17,809",,,"275,360","46.0 322,763 54.0 114",,,,,0
GILGIL,"58,920","49,405 9,515",,,"26,371","53.4 23,021 46.6 13",,,,,0
KURESOI NORTH,"40,359","40,168 191",,,"31,366","78.1 8,795 21.9 7",,,,,0
KURESOI SOUTH,"34,627","34,543 84",,,"27,764","80.4 6,777 19.6 2",,,,,0
MOLO,"41,462","41,439 23",,,"23,440","56.6 17,995 43.4 4",,,,,0
NAIVASHA,"117,633","111,493 6,140",,,"33,504","30.1 77,962 69.9 27",,,,,0
NAKURU EAST,"61,398","60,066 1,332",,,"9,659","16.1 50,388 83.9 19",,,,,0
NAKURU NORTH,"61,728","61,582 146",,,"29,591","48.1 31,977 51.9 14",,,,,0
NAKURU WEST,"64,481","64,429 52",,,"9,867","15.3 54,557 84.7 5",,,,,0
NJORO,"61,271","61,156 115",,,"38,198","62.5 22,949 37.5 9",,,,,0
RONGAI,"52,348","52,248 100",,,"29,297","56.1 22,944 43.9 7",,,,,0
SUBUKIA,"21,819","21,708 111",,,"16,303","75.1 5,398 24.9 7",,,,,0
NAROK,"241,125","238,115 3,010",,,"183,078","76.9 54,964 23.1 73",,,,,0
NAROK EAST,"25,078","24,860 218",,,"18,264","73.5 6,594 26.5 2",,,,,0
NAROK NORTH,"59,996","59,802 194",,,"32,796","54.8 26,982 45.1 24",,,,,0
NAROK SOUTH,"46,723","46,549 174",,,"41,116","88.3 5,423 11.7 10",,,,,0
NAROK WEST,"38,658","37,782 876",,,"34,125","90.3 3,648 9.7 9",,,,,0
TRANS MARA EAST,"20,506","20,439 67",,,"19,832",97.0 602 2.9 5,,,,,0
TRANS MARA WEST,"50,132","48,683 1,449",,,"36,945","75.9 11,715 24.1 23",,,,,0
MAU FOREST,32,-32,,,-,- - - -,,,,,-
KAJIADO,"316,179","313,218 2,961",,,"127,223","40.6 185,863 59.3 132",,,,,0
ISINYA,"71,579","71,395 184",,,"12,686","17.8 58,651 82.2 58",,,,,0.1
