Place_county_or_subcounty,total_and_gender,number,at_school_or_learning_institution_number_and_percent,after_completion_number_and_percent,before_completion_number_and_percent,never_been_to_school_or_learning_institution_number_and_percent,dont_know_number,dont_know_number_percent,not_stated_number
NAKURU NORTH,Male,"97,573","41,720 42.8","36,254 37.2","13,714 14.1","4,968 5.1",883,0.9,34
NAKURU NORTH,Female,"103,602","40,543 39.1","38,313 37.0","16,380 15.8","7,659 7.4",680,0.7,27
NAKURU WEST,NAKURU WEST,"179,490","67,111 37.4","73,402 40.9","27,382 15.3","9,438 5.3","2,151",1.2,6
NAKURU WEST,Male,"91,321","33,350 36.5","39,006 42.7","13,262 14.5","4,468 4.9","1,232",1.3,3
NAKURU WEST,Female,"88,159","33,758 38.3","34,391 39.0","14,120 16.0","4,969 5.6",918,1,3
NJORO,NJORO,"220,036","101,530 46.1","58,727 26.7","40,721 18.5","17,932 8.1","1,102",0.5,24
NJORO,Male,"109,028","52,332 48.0","29,755 27.3","18,903 17.3","7,386 6.8",643,0.6,9
NJORO,Female,"111,005","49,198 44.3","28,971 26.1","21,816 19.7","10,546 9.5",459,0.4,15
RONGAI,RONGAI,"184,553","80,687 43.7","59,302 32.1","27,883 15.1","15,439 8.4","1,219",0.7,23
RONGAI,Male,"92,132","41,256 44.8","30,193 32.8","13,319 14.5","6,630 7.2",723,0.8,11
RONGAI,Female,"92,417","39,428 42.7","29,108 31.5","14,564 15.8","8,809 9.5",496,0.5,12
SUBUKIA,SUBUKIA,"79,115","35,457 44.8","24,537 31.0","11,674 14.8","6,893 8.7",529,0.7,25
SUBUKIA,Male,"38,931","18,355 47.1","12,316 31.6","5,336 13.7","2,622 6.7",290,0.7,12
SUBUKIA,Female,"40,183","17,101 42.6","12,221 30.4","6,338 15.8","4,271 10.6",239,0.6,13
NAROK,NAROK,"1,044,966","481,160 46.0","120,221 11.5","149,044 14.3","283,500 27.1","10,856",1,185
NAROK,Male,"520,523","248,214 47.7","66,633 12.8","70,531 13.6","128,801 24.7","6,235",1.2,109
NAROK,Female,"524,419","232,941 44.4","53,583 10.2","78,513 15.0","154,686 29.5","4,620",0.9,76
NAROK EAST,NAROK EAST,"104,856","46,371 44.2","11,863 11.3","11,325 10.8","34,572 33.0",718,0.7,7
NAROK EAST,Male,"53,336","23,840 44.7","6,641 12.5","5,784 10.8","16,620 31.2",447,0.8,4
NAROK EAST,Female,"51,513","22,531 43.7","5,222 10.1","5,541 10.8","17,945 34.8",271,0.5,3
NAROK NORTH,NAROK NORTH,"227,649","99,145 43.6","43,798 19.2","28,886 12.7","52,742 23.2","3,023",1.3,55
NAROK NORTH,Male,"115,452","50,396 43.7","23,748 20.6","14,679 12.7","24,916 21.6","1,679",1.5,34
NAROK NORTH,Female,"112,188","48,746 43.5","20,047 17.9","14,207 12.7","27,824 24.8","1,343",1.2,21
NAROK SOUTH,NAROK SOUTH,"215,493","94,417 43.8","19,882 9.2","28,289 13.1","70,907 32.9","1,972",0.9,26
NAROK SOUTH,Male,"106,882","49,039 45.9","10,999 10.3","13,225 12.4","32,472 30.4","1,132",1.1,15
NAROK SOUTH,Female,"108,609","45,378 41.8","8,882 8.2","15,064 13.9","38,434 35.4",840,0.8,11
NAROK WEST,NAROK WEST,"171,981","73,667 42.8","12,336 7.2","21,244 12.4","62,598 36.4","2,102",1.2,34
NAROK WEST,Male,"84,283","39,063 46.3","6,962 8.3","9,820 11.7","27,249 32.3","1,167",1.4,22
NAROK WEST,Female,"87,696","34,604 39.5","5,373 6.1","11,424 13.0","35,348 40.3",935,1.1,12
TRANS MARA EAST,TRANS MARA EAST,"102,459","56,624 55.3","7,857 7.7","19,405 18.9","18,012 17.6",543,0.5,18
TRANS MARA EAST,Male,"50,134","29,303 58.4","4,292 8.6","8,299 16.6","7,929 15.8",300,0.6,11
TRANS MARA EAST,Female,"52,324","27,320 52.2","3,565 6.8","11,106 21.2","10,083 19.3",243,0.5,7
TRANS MARA WEST,TRANS MARA WEST,"222,496","110,934 49.9","24,455 11.0","39,895 17.9","44,669 20.1","2,498",1.1,45
TRANS MARA WEST,Male,"110,408","56,572 51.2","13,964 12.6","18,724 17.0","19,615 17.8","1,510",1.4,23
TRANS MARA WEST,Female,"112,085","54,361 48.5","10,491 9.4","21,171 18.9","25,052 22.4",988,0.9,22
MAU FOREST,MAU FOREST,32,2 6.3,30 93.8,- -,- -,-,-,-
MAU FOREST,Male,28,1 3.6,27 96.4,- -,- -,-,-,-
MAU FOREST,Female,4,1 25.0,3 75.0,- -,- -,-,-,-
KAJIADO,KAJIADO,"1,016,058","389,090 38.3","319,689 31.5","111,477 11.0","182,329 17.9","13,146",1.3,327
KAJIADO,Male,"504,023","195,925 38.9","164,069 32.6","54,115 10.7","82,454 16.4","7,321",1.5,139
KAJIADO,Female,"512,004","193,153 37.7","155,610 30.4","57,359 11.2","99,870 19.5","5,824",1.1,188
ISINYA,ISINYA,"191,272","63,220 33.1","89,695 46.9","22,338 11.7","10,916 5.7","4,937",2.6,166
ISINYA,Male,"95,366","31,257 32.8","45,330 47.5","10,786 11.3","5,342 5.6","2,580",2.7,71
ISINYA,Female,"95,900","31,962 33.3","44,362 46.3","11,551 12.0","5,574 5.8","2,356",2.5,95
KAJIADO CENTRAL,KAJIADO CENTRAL,"145,212","63,843 44.0","25,520 17.6","11,582 8.0","42,135 29.0","2,120",1.5,12
KAJIADO CENTRAL,Male,"72,629","32,735 45.1","14,186 19.5","6,024 8.3","18,445 25.4","1,238",1.7,1
KAJIADO CENTRAL,Female,"72,580","31,107 42.9","11,334 15.6","5,558 7.7","23,688 32.6",882,1.2,11
KAJIADO NORTH,KAJIADO NORTH,"282,534","102,623 36.3","130,221 46.1","36,294 12.8","10,904 3.9","2,411",0.9,81
KAJIADO NORTH,Male,"138,169","50,880 36.8","64,576 46.7","16,476 11.9","4,885 3.5","1,316",1,36
KAJIADO NORTH,Female,"144,354","51,740 35.8","65,639 45.5","19,816 13.7","6,019 4.2","1,095",0.8,45
KAJIADO WEST,KAJIADO WEST,"165,055","64,855 39.3","30,987 18.8","14,752 8.9","52,986 32.1","1,434",0.9,41
KAJIADO WEST,Male,"82,432","33,179 40.3","16,708 20.3","7,462 9.1","24,225 29.4",842,1,16
KAJIADO WEST,Female,"82,618","31,673 38.3","14,278 17.3","7,290 8.8","28,760 34.8",592,0.7,25
LOITOKITOK,LOITOKITOK,"173,159","70,006 40.4","28,958 16.7","18,750 10.8","53,977 31.2","1,445",0.8,23
LOITOKITOK,Male,"85,227","35,391 41.5","15,485 18.2","9,387 11.0","24,074 28.2",876,1,14
LOITOKITOK,Female,"87,927","34,612 39.4","13,473 15.3","9,363 10.6","29,901 34.0",569,0.6,9
MASHUURU,MASHUURU,"58,826","24,543 41.7","14,308 24.3","7,761 13.2","11,411 19.4",799,1.4,4
MASHUURU,Male,"30,200","12,483 41.3","7,784 25.8","3,980 13.2","5,483 18.2",469,1.6,1
MASHUURU,Female,"28,625","12,059 42.1","6,524 22.8","3,781 13.2","5,928 20.7",330,1.2,3
KERICHO,KERICHO,"834,061","387,109 46.4","201,479 24.2","172,473 20.7","68,545 8.2","4,236",0.5,219
KERICHO,Male,"415,734","197,586 47.5","105,284 25.3","80,978 19.5","29,453 7.1","2,323",0.6,110
KERICHO,Female,"418,300","189,513 45.3","96,187 23.0","91,489 21.9","39,089 9.3","1,913",0.5,109
BELGUT,BELGUT,"135,941","60,638 44.6","37,090 27.3","28,745 21.1","8,879 6.5",575,0.4,14
BELGUT,Male,"67,923","30,818 45.4","19,474 28.7","13,551 20.0","3,762 5.5",310,0.5,8
BELGUT,Female,"68,018","29,820 43.8","17,616 25.9","15,194 22.3","5,117 7.5",265,0.4,6
BURETI,BURETI,"185,127","86,254 46.6","41,491 22.4","42,406 22.9","13,669 7.4","1,290",0.7,17
BURETI,Male,"91,535","43,631 47.7","21,617 23.6","19,708 21.5","5,924 6.5",646,0.7,9
BURETI,Female,"93,587","42,621 45.5","19,874 21.2","22,696 24.3","7,744 8.3",644,0.7,8
KERICHO EAST,KERICHO EAST,"156,786","67,745 43.2","47,847 30.5","29,259 18.7","11,236 7.2",628,0.4,71
KERICHO EAST,Male,"79,013","34,263 43.4","25,293 32.0","14,292 18.1","4,776 6.0",353,0.4,36
KERICHO EAST,Female,"77,766","33,482 43.1","22,550 29.0","14,965 19.2","6,459 8.3",275,0.4,35
KIPKELION,KIPKELION,"112,279","55,631 49.5","21,741 19.4","21,796 19.4","12,574 11.2",474,0.4,63
KIPKELION,Male,"55,954","28,758 51.4","11,336 20.3","10,058 18.0","5,480 9.8",288,0.5,34
KIPKELION,Female,"56,321","26,872 47.7","10,403 18.5","11,738 20.8","7,093 12.6",186,0.3,29
LONDIANI,LONDIANI,"126,773","60,196 47.5","31,132 24.6","24,176 19.1","10,776 8.5",458,0.4,35
LONDIANI,Male,"62,955","30,865 49.0","15,865 25.2","11,268 17.9","4,639 7.4",303,0.5,15
LONDIANI,Female,"63,808","29,325 46.0","15,265 23.9","12,906 20.2","6,137 9.6",155,0.2,20
SOIN SIGOWET,SOIN SIGOWET,"117,155","56,645 48.4","22,178 18.9","26,091 22.3","11,411 9.7",811,0.7,19
SOIN SIGOWET,Male,"58,354","29,251 50.1","11,699 20.0","12,101 20.7","4,872 8.3",423,0.7,8
SOIN SIGOWET,Female,"58,800","27,393 46.6","10,479 17.8","13,990 23.8","6,539 11.1",388,0.7,11
BOMET,BOMET,"810,122","400,330 49.4","169,658 20.9","160,702 19.8","72,627 9.0","6,730",0.8,75
BOMET,Male,"400,694","205,930 51.4","88,746 22.1","72,327 18.1","30,078 7.5","3,572",0.9,41
BOMET,Female,"409,407","194,390 47.5","80,911 19.8","88,369 21.6","42,545 10.4","3,158",0.8,34
BOMET EAST,BOMET EAST,"132,732","66,149 49.8","24,702 18.6","26,037 19.6","14,280 10.8","1,539",1.2,25
BOMET EAST,Male,"65,185","34,557 53.0","12,710 19.5","11,263 17.3","5,868 9.0",773,1.2,14
BOMET EAST,Female,"67,541","31,590 46.8","11,992 17.8","14,771 21.9","8,411 12.5",766,1.1,11
CHEPALUNGU,CHEPALUNGU,"152,423","80,719 53.0","24,117 15.8","30,134 19.8","16,625 10.9",821,0.5,7
CHEPALUNGU,Male,"73,652","41,395 56.2","12,619 17.1","12,597 17.1","6,580 8.9",457,0.6,4
CHEPALUNGU,Female,"78,767","39,321 49.9","11,498 14.6","17,537 22.3","10,044 12.8",364,0.5,3
KONOIN,KONOIN,"152,161","71,277 46.8","33,637 22.1","34,293 22.5","11,086 7.3","1,856",1.2,12
KONOIN,Male,"77,411","36,629 47.3","18,188 23.5","16,618 21.5","5,006 6.5",962,1.2,8
KONOIN,Female,"74,747","34,646 46.4","15,449 20.7","17,674 23.6","6,080 8.1",894,1.2,4
SOTIK,SOTIK,"211,301","106,570 50.4","45,651 21.6","39,736 18.8","17,883 8.5","1,449",0.7,12
SOTIK,Male,"103,882","54,539 52.5","23,484 22.6","17,851 17.2","7,186 6.9",817,0.8,5
SOTIK,Female,"107,415","52,029 48.4","22,166 20.6","21,885 20.4","10,696 10.0",632,0.6,7
BOMET CENTRAL,BOMET CENTRAL,"161,505","75,615 46.8","41,551 25.7","30,502 18.9","12,753 7.9","1,065",0.7,19
BOMET CENTRAL,Male,"80,564","38,810 48.2","21,745 27.0","13,998 17.4","5,438 6.7",563,0.7,10
BOMET CENTRAL,Female,"80,937","36,804 45.5","19,806 24.5","16,502 20.4","7,314 9.0",502,0.6,9
KAKAMEGA,KAKAMEGA,"1,732,145","853,031 49.2","334,397 19.3","352,269 20.3","180,344 10.4","11,722",0.7,382
KAKAMEGA,Male,"828,945","428,344 51.7","162,596 19.6","157,153 19.0","74,543 9.0","6,139",0.7,170
KAKAMEGA,Female,"903,166","424,667 47.0","171,796 19.0","195,111 21.6","105,797 11.7","5,583",0.6,212
BUTERE,BUTERE,"143,388","70,109 48.9","26,340 18.4","29,273 20.4","16,847 11.7",806,0.6,13
BUTERE,Male,"68,366","35,289 51.6","12,891 18.9","13,115 19.2","6,656 9.7",408,0.6,7
BUTERE,Female,"75,019","34,818 46.4","13,449 17.9","16,158 21.5","10,190 13.6",398,0.5,6
KAKAMEGA CENTRAL,KAKAMEGA CENTRAL,"173,048","78,154 45.2","49,761 28.8","32,167 18.6","11,843 6.8","1,081",0.6,42
KAKAMEGA CENTRAL,Male,"84,569","38,893 46.0","24,796 29.3","15,145 17.9","5,123 6.1",596,0.7,16
KAKAMEGA CENTRAL,Female,"88,477","39,260 44.4","24,964 28.2","17,022 19.2","6,720 7.6",485,0.5,26
KAKAMEGA EAST,KAKAMEGA EAST,"155,365","73,954 47.6","29,810 19.2","33,756 21.7","16,892 10.9",793,0.5,160
KAKAMEGA EAST,Male,"74,398","37,256 50.1","14,188 19.1","15,504 20.8","6,968 9.4",413,0.6,69
KAKAMEGA EAST,Female,"80,963","36,695 45.3","15,622 19.3","18,252 22.5","9,923 12.3",380,0.5,91
KAKAMEGA NORTH,KAKAMEGA NORTH,"221,048","112,147 50.7","43,264 19.6","45,240 20.5","19,204 8.7","1,149",0.5,44
KAKAMEGA NORTH,Male,"106,855","56,409 52.8","21,419 20.0","20,134 18.8","8,247 7.7",626,0.6,20
KAKAMEGA NORTH,Female,"114,188","55,734 48.8","21,844 19.1","25,106 22.0","10,957 9.6",523,0.5,24
KAKAMEGA SOUTH,KAKAMEGA SOUTH,"104,341","50,293 48.2","19,990 19.2","22,028 21.1","11,438 11.0",575,0.6,17
KAKAMEGA SOUTH,Male,"49,548","25,084 50.6","9,402 19.0","10,076 20.3","4,702 9.5",275,0.6,9
KAKAMEGA SOUTH,Female,"54,793","25,209 46.0","10,588 19.3","11,952 21.8","6,736 12.3",300,0.5,8
KHWISERO,KHWISERO,"106,001","51,333 48.4","20,061 18.9","22,911 21.6","11,292 10.7",394,0.4,10
KHWISERO,Male,"49,957","25,687 51.4","9,601 19.2","10,056 20.1","4,404 8.8",205,0.4,4
KHWISERO,Female,"56,041","25,645 45.8","10,459 18.7","12,854 22.9","6,888 12.3",189,0.3,6
LIKUYANI,LIKUYANI,"141,338","68,899 48.7","29,353 20.8","27,918 19.8","13,156 9.3","1,998",1.4,14
LIKUYANI,Male,"68,337","34,856 51.0","14,191 20.8","12,400 18.1","5,802 8.5","1,078",1.6,10
LIKUYANI,Female,"72,998","34,041 46.6","15,162 20.8","15,518 21.3","7,353 10.1",920,1.3,4
LUGARI,LUGARI,"114,040","55,233 48.4","26,842 23.5","21,670 19.0","9,706 8.5",582,0.5,7
LUGARI,Male,"54,848","27,808 50.7","12,921 23.6","9,582 17.5","4,235 7.7",299,0.5,3
LUGARI,Female,"59,192","27,425 46.3","13,921 23.5","12,088 20.4","5,471 9.2",283,0.5,4
MATETE,MATETE,"61,383","31,089 50.6","11,045 18.0","11,666 19.0","6,512 10.6","1,071",1.7,-
MATETE,Male,"29,404","15,709 53.4","5,367 18.3","4,982 16.9","2,818 9.6",528,1.8,-
MATETE,Female,"31,979","15,380 48.1","5,678 17.8","6,684 20.9","3,694 11.6",543,1.7,-
MATUNGU,MATUNGU,"154,460","78,781 51.0","19,787 12.8","31,220 20.2","23,262 15.1","1,389",0.9,21
MATUNGU,Male,"72,733","39,392 54.2","9,561 13.1","13,682 18.8","9,366 12.9",721,1,11
MATUNGU,Female,"81,724","39,387 48.2","10,226 12.5","17,537 21.5","13,896 17.0",668,0.8,10
MATUNGU,MUMIAS EAST,"108,468","55,214 50.9","16,979 15.7","23,567 21.7","12,120 11.2",583,0.5,5
MATUNGU,Male,"51,751","27,824 53.8","8,293 16.0","10,485 20.3","4,842 9.4",305,0.6,2
MATUNGU,Female,"56,714","27,388 48.3","8,685 15.3","13,082 23.1","7,278 12.8",278,0.5,3
MUMIAS WEST,MUMIAS WEST,"106,473","53,145 49.9","20,060 18.8","20,588 19.3","12,011 11.3",642,0.6,27
MUMIAS WEST,Male,"50,529","26,655 52.8","9,728 19.3","9,088 18.0","4,688 9.3",359,0.7,11
MUMIAS WEST,Female,"55,943","26,490 47.4","10,332 18.5","11,499 20.6","7,323 13.1",283,0.5,16
NAVAKHOLO,NAVAKHOLO,"142,792","74,680 52.3","21,105 14.8","30,265 21.2","16,061 11.2",659,0.5,22
NAVAKHOLO,Male,"67,650","37,482 55.4","10,238 15.1","12,904 19.1","6,692 9.9",326,0.5,8
NAVAKHOLO,Female,"75,135","37,195 49.5","10,866 14.5","17,359 23.1","9,368 12.5",333,0.4,14
VIHIGA,VIHIGA,"550,070","257,982 46.9","128,847 23.4","115,345 21.0","44,178 8.0","3,623",0.7,95
VIHIGA,Male,"263,949","129,422 49.0","61,789 23.4","52,189 19.8","18,682 7.1","1,815",0.7,52
VIHIGA,Female,"286,112","128,556 44.9","67,055 23.4","63,154 22.1","25,496 8.9","1,808",0.6,43
EMUHAYA,EMUHAYA,"90,814","42,853 47.2","18,377 20.2","20,425 22.5","8,487 9.3",654,0.7,18
EMUHAYA,Male,"43,383","21,470 49.5","8,563 19.7","9,363 21.6","3,648 8.4",329,0.8,10
EMUHAYA,Female,"47,430","21,383 45.1","9,813 20.7","11,062 23.3","4,839 10.2",325,0.7,8
VIHIGA,VIHIGA,"88,664","41,104 46.4","23,313 26.3","17,596 19.8","5,965 6.7",660,0.7,26
VIHIGA,Male,"42,455","20,629 48.6","11,222 26.4","7,701 18.1","2,570 6.1",316,0.7,17
VIHIGA,Female,"46,207","20,475 44.3","12,089 26.2","9,895 21.4","3,395 7.3",344,0.7,9
SABATIA,SABATIA,"122,708","57,435 46.8","32,383 26.4","24,106 19.6","7,839 6.4",930,0.8,15
SABATIA,Male,"58,591","28,652 48.9","15,571 26.6","10,669 18.2","3,224 5.5",469,0.8,6
SABATIA,Female,"64,116","28,782 44.9","16,812 26.2","13,437 21.0","4,615 7.2",461,0.7,9
LUANDA,LUANDA,"98,821","45,308 45.8","24,126 24.4","20,405 20.6","8,330 8.4",625,0.6,27
LUANDA,Male,"47,692","22,740 47.7","11,725 24.6","9,371 19.6","3,522 7.4",320,0.7,14
LUANDA,Female,"51,127","22,568 44.1","12,401 24.3","11,032 21.6","4,808 9.4",305,0.6,13
HAMISI,HAMISI,"149,047","71,281 47.8","30,634 20.6","32,812 22.0","13,557 9.1",754,0.5,9
