,name,capital,code,sub_counties,sub_counties_lower,Place_county_or_subcounty,total_and_gender,number,at_school_or_learning_institution_number_and_percent,after_completion_number_and_percent,before_completion_number_and_percent,never_been_to_school_or_learning_institution_number_and_percent,dont_know_number,dont_know_number_percent,not_stated_number,at_school_or_learning_institution_number,at_school_or_learning_institution_pct,after_completion_number,after_completion_pct,before_completion_number,before_completion_pct,never_been_to_school_or_learning_institution_number,never_been_to_school_or_learning_institution_pct,Unnamed: 0,male_Place_county_or_subcounty,male_total_and_gender,male_number,male_at_school_or_learning_institution_number_and_percent,male_after_completion_number_and_percent,male_before_completion_number_and_percent,male_never_been_to_school_or_learning_institution_number_and_percent,male_dont_know_number,male_dont_know_number_percent,male_not_stated_number,male_at_school_or_learning_institution_number,male_at_school_or_learning_institution_pct,male_after_completion_number,male_after_completion_pct,male_before_completion_number,male_before_completion_pct,male_never_been_to_school_or_learning_institution_number,male_never_been_to_school_or_learning_institution_pct,Unnamed: 19,female_male_Place_county_or_subcounty,female_male_total_and_gender,female_male_number,female_male_at_school_or_learning_institution_number_and_percent,female_male_after_completion_number_and_percent,female_male_before_completion_number_and_percent,female_male_never_been_to_school_or_learning_institution_number_and_percent,female_male_dont_know_number,female_male_dont_know_number_percent,female_male_not_stated_number,female_male_at_school_or_learning_institution_number,female_male_at_school_or_learning_institution_pct,female_male_after_completion_number,female_male_after_completion_pct,female_male_before_completion_number,female_male_before_completion_pct,female_male_never_been_to_school_or_learning_institution_number,female_male_never_been_to_school_or_learning_institution_pct,male_Place_county_or_subcounty_lower
8,Bomet,Bomet,36,Chepalungu,chepalungu,CHEPALUNGU,CHEPALUNGU,"152,423","80,719 53.0","24,117 15.8","30,134 19.8","16,625 10.9",821,0.5,7,"80,719",53,"24,117",15.8,"30,134",19.8,"16,625",10.9,854,CHEPALUNGU,Male,"73,652","41,395 56.2","12,619 17.1","12,597 17.1","6,580 8.9",457,0.6,4,"41,395",56.2,"12,619",17.1,"12,597",17.1,"6,580",8.9,854,CHEPALUNGU,Male,"73,652","41,395 56.2","12,619 17.1","12,597 17.1","6,580 8.9",457,0.6,4,"41,395",56.2,"12,619",17.1,"12,597",17.1,"6,580",8.9,chepalungu
497,Bungoma,Bungoma,39,Cheptais,cheptais,CHEPTAIS,CHEPTAIS,"124,273","64,726 52.1","13,085 10.5","29,321 23.6","15,042 12.1","2,080",1.7,19,"64,726",52.1,"13,085",10.5,"29,321",23.6,"15,042",12.1,947,CHEPTAIS,Male,"61,904","33,517 54.1","7,274 11.8","13,138 21.2","6,852 11.1","1,109",1.8,14,"33,517",54.1,"7,274",11.8,"13,138",21.2,"6,852",11.1,947,CHEPTAIS,Male,"61,904","33,517 54.1","7,274 11.8","13,138 21.2","6,852 11.1","1,109",1.8,14,"33,517",54.1,"7,274",11.8,"13,138",21.2,"6,852",11.1,cheptais
229,Nandi,Kapsabet,29,Chesumei,chesumei,CHESUMEI,CHESUMEI,"152,235","69,608 45.7","37,839 24.9","32,606 21.4","10,852 7.1","1,326",0.9,4,"69,608",45.7,"37,839",24.9,"32,606",21.4,"10,852",7.1,686,CHESUMEI,Male,"75,011","35,299 47.1","18,917 25.2","15,382 20.5","4,706 6.3",704,0.9,3,"35,299",47.1,"18,917",25.2,"15,382",20.5,"4,706",6.3,686,CHESUMEI,Male,"75,011","35,299 47.1","18,917 25.2","15,382 20.5","4,706 6.3",704,0.9,3,"35,299",47.1,"18,917",25.2,"15,382",20.5,"4,706",6.3,chesumei
328,Kilifi,Kilifi,3,Chonyi,chonyi,CHONYI,CHONYI,"57,246","28,875 50.4","8,612 15.0","7,410 12.9","12,060 21.1",289,0.5,-,"28,875",50.4,"8,612",15,"7,410",12.9,"12,060",21.1,47,CHONYI,Male,"26,917","14,936 55.5","4,814 17.9","3,513 13.1","3,509 13.0",145,0.5,-,"14,936",55.5,"4,814",17.9,"3,513",13.1,"3,509",13,47,CHONYI,Male,"26,917","14,936 55.5","4,814 17.9","3,513 13.1","3,509 13.0",145,0.5,-,"14,936",55.5,"4,814",17.9,"3,513",13.1,"3,509",13,chonyi
341,Garissa,Garissa,7,Dadaab,dadaab,DADAAB,DADAAB,"171,529","20,883 12.2","3,254 1.9","1,479 0.9","138,363 80.7","7,491",4.4,59,"20,883",12.2,"3,254",1.9,"1,479",0.9,"138,363",80.7,116,DADAAB,Male,"91,581","12,354 13.5","2,330 2.5",812 0.9,"71,639 78.2","4,404",4.8,42,"12,354",13.5,"2,330",2.5,812,0.9,"71,639",78.2,116,DADAAB,Male,"91,581","12,354 13.5","2,330 2.5",812 0.9,"71,639 78.2","4,404",4.8,42,"12,354",13.5,"2,330",2.5,812,0.9,"71,639",78.2,dadaab
535,Nairobi,Nairobi City,47,Dagoretti,dagoretti,DAGORETTI,DAGORETTI,"398,369","133,970 33.6","184,694 46.4","61,613 15.5","14,655 3.7","3,263",0.8,174,"133,970",33.6,"184,694",46.4,"61,613",15.5,"14,655",3.7,1148,DAGORETTI,Male,"199,539","65,978 33.1","96,589 48.4","28,266 14.2","6,709 3.4","1,909",1,88,"65,978",33.1,"96,589",48.4,"28,266",14.2,"6,709",3.4,1148,DAGORETTI,Male,"199,539","65,978 33.1","96,589 48.4","28,266 14.2","6,709 3.4","1,909",1,88,"65,978",33.1,"96,589",48.4,"28,266",14.2,"6,709",3.4,dagoretti
460,Baringo,Kabarnet,30,East Pokot,east pokot,EAST POKOT,EAST POKOT,"73,135","12,743 17.4","1,763 2.4","1,052 1.4","56,364 77.1","1,208",1.7,5,"12,743",17.4,"1,763",2.4,"1,052",1.4,"56,364",77.1,713,EAST POKOT,Male,"36,951","6,913 18.7","1,106 3.0",551 1.5,"27,773 75.2",606,1.6,2,"6,913",18.7,"1,106",3,551,1.5,"27,773",75.2,713,EAST POKOT,Male,"36,951","6,913 18.7","1,106 3.0",551 1.5,"27,773 75.2",606,1.6,2,"6,913",18.7,"1,106",3,551,1.5,"27,773",75.2,east pokot
305,Wajir,Wajir,8,Eldas,eldas,ELDAS,ELDAS,"82,187","14,237 17.3",851 1.0,450 0.5,"65,185 79.3","1,464",1.8,-,"14,237",17.3,851,1,450,0.5,"65,185",79.3,140,ELDAS,Male,"41,866","7,706 18.4",532 1.3,239 0.6,"32,637 78.0",752,1.8,-,"7,706",18.4,532,1.3,239,0.6,"32,637",78,140,ELDAS,Male,"41,866","7,706 18.4",532 1.3,239 0.6,"32,637 78.0",752,1.8,-,"7,706",18.4,532,1.3,239,0.6,"32,637",78,eldas
452,Elgeyo-Marakwet,Iten,28,,,ELGEYO/MARAKWET,ELGEYO/MARAKWET,"418,765","203,979 48.7","93,397 22.3","65,739 15.7","52,047 12.4","3,541",0.8,62,"203,979",48.7,"93,397",22.3,"65,739",15.7,"52,047",12.4,668,ELGEYO/MARAKWET,Male,"209,151","103,310 49.4","48,510 23.2","31,890 15.2","23,622 11.3","1,789",0.9,30,"103,310",49.4,"48,510",23.2,"31,890",15.2,"23,622",11.3,668,ELGEYO/MARAKWET,Male,"209,151","103,310 49.4","48,510 23.2","31,890 15.2","23,622 11.3","1,789",0.9,30,"103,310",49.4,"48,510",23.2,"31,890",15.2,"23,622",11.3,elgeyo/marakwet
536,Nairobi,Nairobi City,47,Embakasi,embakasi,EMBAKASI,EMBAKASI,"904,247","298,718 33.0","469,862 52.0","96,184 10.6","31,817 3.5","7,374",0.8,292,"298,718",33,"469,862",52,"96,184",10.6,"31,817",3.5,1151,EMBAKASI,Male,"449,669","146,665 32.6","242,593 53.9","41,871 9.3","14,469 3.2","3,922",0.9,149,"146,665",32.6,"242,593",53.9,"41,871",9.3,"14,469",3.2,1151,EMBAKASI,Male,"449,669","146,665 32.6","242,593 53.9","41,871 9.3","14,469 3.2","3,922",0.9,149,"146,665",32.6,"242,593",53.9,"41,871",9.3,"14,469",3.2,embakasi
394,Embu,Embu,14,,,EMBU,EMBU,"568,228","205,389 36.1","180,500 31.8","131,329 23.1","48,555 8.5","2,404",0.4,51,"205,389",36.1,"180,500",31.8,"131,329",23.1,"48,555",8.5,284,EMBU,Male,"283,024","104,132 36.8","90,744 32.1","67,774 23.9","18,822 6.7","1,530",0.5,22,"104,132",36.8,"90,744",32.1,"67,774",23.9,"18,822",6.7,284,EMBU,Male,"283,024","104,132 36.8","90,744 32.1","67,774 23.9","18,822 6.7","1,530",0.5,22,"104,132",36.8,"90,744",32.1,"67,774",23.9,"18,822",6.7,embu
395,Embu,Embu,14,Embu East,embu east,EMBU EAST,EMBU EAST,"122,079","41,231 33.8","38,387 31.4","31,506 25.8","10,483 8.6",469,0.4,3,"41,231",33.8,"38,387",31.4,"31,506",25.8,"10,483",8.6,287,EMBU EAST,Male,"60,807","20,990 34.5","19,236 31.6","16,193 26.6","4,112 6.8",275,0.5,1,"20,990",34.5,"19,236",31.6,"16,193",26.6,"4,112",6.8,287,EMBU EAST,Male,"60,807","20,990 34.5","19,236 31.6","16,193 26.6","4,112 6.8",275,0.5,1,"20,990",34.5,"19,236",31.6,"16,193",26.6,"4,112",6.8,embu east
396,Embu,Embu,14,Embu North,embu north,EMBU NORTH,EMBU NORTH,"75,194","25,255 33.6","24,666 32.8","18,336 24.4","6,717 8.9",216,0.3,4,"25,255",33.6,"24,666",32.8,"18,336",24.4,"6,717",8.9,290,EMBU NORTH,Male,"37,443","13,147 35.1","12,344 33.0","9,327 24.9","2,497 6.7",127,0.3,1,"13,147",35.1,"12,344",33,"9,327",24.9,"2,497",6.7,290,EMBU NORTH,Male,"37,443","13,147 35.1","12,344 33.0","9,327 24.9","2,497 6.7",127,0.3,1,"13,147",35.1,"12,344",33,"9,327",24.9,"2,497",6.7,embu north
397,Embu,Embu,14,Embu West,embu west,EMBU WEST,EMBU WEST,"116,797","38,642 33.1","47,698 40.8","22,991 19.7","6,955 6.0",502,0.4,9,"38,642",33.1,"47,698",40.8,"22,991",19.7,"6,955",6,293,EMBU WEST,Male,"57,297","19,180 33.5","23,246 40.6","11,853 20.7","2,699 4.7",314,0.5,5,"19,180",33.5,"23,246",40.6,"11,853",20.7,"2,699",4.7,293,EMBU WEST,Male,"57,297","19,180 33.5","23,246 40.6","11,853 20.7","2,699 4.7",314,0.5,5,"19,180",33.5,"23,246",40.6,"11,853",20.7,"2,699",4.7,embu west
297,Vihiga,Vihiga,38,Emuhaya,emuhaya,EMUHAYA,EMUHAYA,"90,814","42,853 47.2","18,377 20.2","20,425 22.5","8,487 9.3",654,0.7,18,"42,853",47.2,"18,377",20.2,"20,425",22.5,"8,487",9.3,911,EMUHAYA,Male,"43,383","21,470 49.5","8,563 19.7","9,363 21.6","3,648 8.4",329,0.8,10,"21,470",49.5,"8,563",19.7,"9,363",21.6,"3,648",8.4,911,EMUHAYA,Male,"43,383","21,470 49.5","8,563 19.7","9,363 21.6","3,648 8.4",329,0.8,10,"21,470",49.5,"8,563",19.7,"9,363",21.6,"3,648",8.4,emuhaya
282,Trans-Nzoia,Kitale,26,Endebess,endebess,ENDEBESS,ENDEBESS,"102,457","50,202 49.0","12,036 11.7","25,440 24.8","14,151 13.8",626,0.6,2,"50,202",49,"12,036",11.7,"25,440",24.8,"14,151",13.8,641,ENDEBESS,Male,"51,455","25,839 50.2","6,657 12.9","12,023 23.4","6,541 12.7",394,0.8,1,"25,839",50.2,"6,657",12.9,"12,023",23.4,"6,541",12.7,641,ENDEBESS,Male,"51,455","25,839 50.2","6,657 12.9","12,023 23.4","6,541 12.7",394,0.8,1,"25,839",50.2,"6,657",12.9,"12,023",23.4,"6,541",12.7,endebess
522,Kisii,Kisii,45,Etago,etago,ETAGO,ETAGO,"78,104","39,960 51.2","10,675 13.7","17,546 22.5","9,692 12.4",226,0.3,5,"39,960",51.2,"10,675",13.7,"17,546",22.5,"9,692",12.4,1094,ETAGO,Male,"37,316","20,355 54.5","5,645 15.1","7,401 19.8","3,794 10.2",119,0.3,2,"20,355",54.5,"5,645",15.1,"7,401",19.8,"3,794",10.2,1094,ETAGO,Male,"37,316","20,355 54.5","5,645 15.1","7,401 19.8","3,794 10.2",119,0.3,2,"20,355",54.5,"5,645",15.1,"7,401",19.8,"3,794",10.2,etago
35,Garissa,Garissa,7,Fafi,fafi,FAFI,FAFI,"123,861","15,237 12.3","2,351 1.9","1,334 1.1","102,021 82.4","2,895",2.3,23,"15,237",12.3,"2,351",1.9,"1,334",1.1,"102,021",82.4,119,FAFI,Male,"67,143","8,847 13.2","1,570 2.3",756 1.1,"54,524 81.2","1,432",2.1,14,"8,847",13.2,"1,570",2.3,756,1.1,"54,524",81.2,119,FAFI,Male,"67,143","8,847 13.2","1,570 2.3",756 1.1,"54,524 81.2","1,432",2.1,14,"8,847",13.2,"1,570",2.3,756,1.1,"54,524",81.2,fafi
329,Kilifi,Kilifi,3,Ganze,ganze,GANZE,GANZE,"131,101","67,193 51.3","14,842 11.3","13,191 10.1","35,066 26.7",761,0.6,48,"67,193",51.3,"14,842",11.3,"13,191",10.1,"35,066",26.7,50,GANZE,Male,"60,552","34,222 56.5","7,843 13.0","6,804 11.2","11,272 18.6",391,0.6,20,"34,222",56.5,"7,843",13,"6,804",11.2,"11,272",18.6,50,GANZE,Male,"60,552","34,222 56.5","7,843 13.0","6,804 11.2","11,272 18.6",391,0.6,20,"34,222",56.5,"7,843",13,"6,804",11.2,"11,272",18.6,ganze
357,Isiolo,Isiolo,11,Garbatulla,garbatulla,GARBATULLA,GARBATULLA,"92,227","25,147 27.3","6,186 6.7","2,946 3.2","57,317 62.1",619,0.7,12,"25,147",27.3,"6,186",6.7,"2,946",3.2,"57,317",62.1,212,GARBATULLA,Male,"50,808","13,233 26.0","3,875 7.6","1,721 3.4","31,581 62.2",390,0.8,8,"13,233",26,"3,875",7.6,"1,721",3.4,"31,581",62.2,212,GARBATULLA,Male,"50,808","13,233 26.0","3,875 7.6","1,721 3.4","31,581 62.2",390,0.8,8,"13,233",26,"3,875",7.6,"1,721",3.4,"31,581",62.2,garbatulla
36,Garissa,Garissa,7,Garissa,garissa,GARISSA,GARISSA,"778,006","132,990 17.1","23,144 3.0","9,508 1.2","584,730 75.2","27,479",3.5,155,"132,990",17.1,"23,144",3,"9,508",1.2,"584,730",75.2,110,GARISSA,Male,"425,411","77,489 18.2","15,400 3.6","5,309 1.2","311,556 73.2","15,564",3.7,93,"77,489",18.2,"15,400",3.6,"5,309",1.2,"311,556",73.2,110,GARISSA,Male,"425,411","77,489 18.2","15,400 3.6","5,309 1.2","311,556 73.2","15,564",3.7,93,"77,489",18.2,"15,400",3.6,"5,309",1.2,"311,556",73.2,garissa
37,Garissa,Garissa,7,Garissa,garissa,GARISSA,GARISSA,"778,006","132,990 17.1","23,144 3.0","9,508 1.2","584,730 75.2","27,479",3.5,155,"132,990",17.1,"23,144",3,"9,508",1.2,"584,730",75.2,122,GARISSA,Male,"75,234","22,526 29.9","7,644 10.2","2,271 3.0","39,777 52.9","2,994",4,22,"22,526",29.9,"7,644",10.2,"2,271",3,"39,777",52.9,122,GARISSA,Male,"75,234","22,526 29.9","7,644 10.2","2,271 3.0","39,777 52.9","2,994",4,22,"22,526",29.9,"7,644",10.2,"2,271",3,"39,777",52.9,garissa
38,Garissa,Garissa,7,Garissa,garissa,GARISSA,GARISSA,"148,891","40,562 27.2","12,093 8.1","4,244 2.9","86,046 57.8","5,898",4,48,"40,562",27.2,"12,093",8.1,"4,244",2.9,"86,046",57.8,110,GARISSA,Male,"425,411","77,489 18.2","15,400 3.6","5,309 1.2","311,556 73.2","15,564",3.7,93,"77,489",18.2,"15,400",3.6,"5,309",1.2,"311,556",73.2,110,GARISSA,Male,"425,411","77,489 18.2","15,400 3.6","5,309 1.2","311,556 73.2","15,564",3.7,93,"77,489",18.2,"15,400",3.6,"5,309",1.2,"311,556",73.2,garissa
39,Garissa,Garissa,7,Garissa,garissa,GARISSA,GARISSA,"148,891","40,562 27.2","12,093 8.1","4,244 2.9","86,046 57.8","5,898",4,48,"40,562",27.2,"12,093",8.1,"4,244",2.9,"86,046",57.8,122,GARISSA,Male,"75,234","22,526 29.9","7,644 10.2","2,271 3.0","39,777 52.9","2,994",4,22,"22,526",29.9,"7,644",10.2,"2,271",3,"39,777",52.9,122,GARISSA,Male,"75,234","22,526 29.9","7,644 10.2","2,271 3.0","39,777 52.9","2,994",4,22,"22,526",29.9,"7,644",10.2,"2,271",3,"39,777",52.9,garissa
192,Murang'a,Murang'a,21,Gatanga,gatanga,GATANGA,GATANGA,"175,723","65,058 37.0","64,029 36.4","34,256 19.5","11,552 6.6",799,0.5,29,"65,058",37,"64,029",36.4,"34,256",19.5,"11,552",6.6,521,GATANGA,Male,"88,134","33,338 37.8","33,059 37.5","16,925 19.2","4,356 4.9",441,0.5,15,"33,338",37.8,"33,059",37.5,"16,925",19.2,"4,356",4.9,521,GATANGA,Male,"88,134","33,338 37.8","33,059 37.5","16,925 19.2","4,356 4.9",441,0.5,15,"33,338",37.8,"33,059",37.5,"16,925",19.2,"4,356",4.9,gatanga
81,Kiambu,Kiambu,22,Gatundu north,gatundu north,GATUNDU NORTH,GATUNDU NORTH,"102,915","36,935 35.9","36,830 35.8","21,494 20.9","7,082 6.9",557,0.5,17,"36,935",35.9,"36,830",35.8,"21,494",20.9,"7,082",6.9,536,GATUNDU NORTH,Male,"50,634","18,737 37.0","18,964 37.5","10,190 20.1","2,405 4.7",331,0.7,7,"18,737",37,"18,964",37.5,"10,190",20.1,"2,405",4.7,536,GATUNDU NORTH,Male,"50,634","18,737 37.0","18,964 37.5","10,190 20.1","2,405 4.7",331,0.7,7,"18,737",37,"18,964",37.5,"10,190",20.1,"2,405",4.7,gatundu north
82,Kiambu,Kiambu,22,Gatundu south,gatundu south,GATUNDU SOUTH,GATUNDU SOUTH,"114,575","39,811 34.7","43,889 38.3","21,707 18.9","8,355 7.3",771,0.7,42,"39,811",34.7,"43,889",38.3,"21,707",18.9,"8,355",7.3,539,GATUNDU SOUTH,Male,"56,630","20,339 35.9","22,679 40.0","10,298 18.2","2,865 5.1",432,0.8,17,"20,339",35.9,"22,679",40,"10,298",18.2,"2,865",5.1,539,GATUNDU SOUTH,Male,"56,630","20,339 35.9","22,679 40.0","10,298 18.2","2,865 5.1",432,0.8,17,"20,339",35.9,"22,679",40,"10,298",18.2,"2,865",5.1,gatundu south
263,Siaya,Siaya,41,Gem,gem,GEM,GEM,"166,766","79,914 47.9","34,624 20.8","35,779 21.5","14,980 9.0","1,398",0.8,71,"79,914",47.9,"34,624",20.8,"35,779",21.5,"14,980",9,998,GEM,Male,"79,237","40,606 51.2","17,056 21.5","15,532 19.6","5,267 6.6",739,0.9,37,"40,606",51.2,"17,056",21.5,"15,532",19.6,"5,267",6.6,998,GEM,Male,"79,237","40,606 51.2","17,056 21.5","15,532 19.6","5,267 6.6",739,0.9,37,"40,606",51.2,"17,056",21.5,"15,532",19.6,"5,267",6.6,gem
218,Nakuru,Nakuru,32,Gilgil,gilgil,GILGIL,GILGIL,"169,516","72,508 42.8","57,408 33.9","25,548 15.1","12,929 7.6","1,093",0.6,30,"72,508",42.8,"57,408",33.9,"25,548",15.1,"12,929",7.6,749,GILGIL,Male,"84,928","37,668 44.4","29,433 34.7","11,850 14.0","5,321 6.3",639,0.8,17,"37,668",44.4,"29,433",34.7,"11,850",14,"5,321",6.3,749,GILGIL,Male,"84,928","37,668 44.4","29,433 34.7","11,850 14.0","5,321 6.3",639,0.8,17,"37,668",44.4,"29,433",34.7,"11,850",14,"5,321",6.3,gilgil
83,Kiambu,Kiambu,22,Githunguri,githunguri,GITHUNGURI,GITHUNGURI,"155,046","53,711 34.6","63,053 40.7","28,090 18.1","9,457 6.1",716,0.5,19,"53,711",34.6,"63,053",40.7,"28,090",18.1,"9,457",6.1,542,GITHUNGURI,Male,"76,874","27,194 35.4","32,136 41.8","13,548 17.6","3,572 4.6",414,0.5,10,"27,194",35.4,"32,136",41.8,"13,548",17.6,"3,572",4.6,542,GITHUNGURI,Male,"76,874","27,194 35.4","32,136 41.8","13,548 17.6","3,572 4.6",414,0.5,10,"27,194",35.4,"32,136",41.8,"13,548",17.6,"3,572",4.6,githunguri
523,Kisii,Kisii,45,Gucha,gucha,GUCHA,GUCHA,"77,635","37,772 48.7","15,315 19.7","16,278 21.0","7,445 9.6",803,1,22,"37,772",48.7,"15,315",19.7,"16,278",21,"7,445",9.6,1097,GUCHA,Male,"36,552","19,109 52.3","7,576 20.7","6,657 18.2","2,762 7.6",438,1.2,10,"19,109",52.3,"7,576",20.7,"6,657",18.2,"2,762",7.6,1097,GUCHA,Male,"36,552","19,109 52.3","7,576 20.7","6,657 18.2","2,762 7.6",438,1.2,10,"19,109",52.3,"7,576",20.7,"6,657",18.2,"2,762",7.6,gucha
524,Kisii,Kisii,45,Gucha South,gucha south,GUCHA SOUTH,GUCHA SOUTH,"77,984","38,156 48.9","13,482 17.3","16,839 21.6","8,882 11.4",592,0.8,33,"38,156",48.9,"13,482",17.3,"16,839",21.6,"8,882",11.4,1100,GUCHA SOUTH,Male,"37,202","19,473 52.3","6,840 18.4","7,187 19.3","3,402 9.1",282,0.8,18,"19,473",52.3,"6,840",18.4,"7,187",19.3,"3,402",9.1,1100,GUCHA SOUTH,Male,"37,202","19,473 52.3","6,840 18.4","7,187 19.3","3,402 9.1",282,0.8,18,"19,473",52.3,"6,840",18.4,"7,187",19.3,"3,402",9.1,gucha south
345,Wajir,Wajir,8,Habaswein,habaswein,HABASWEIN,HABASWEIN,"158,790","35,144 22.1","3,024 1.9","1,340 0.8","118,608 74.7",650,0.4,24,"35,144",22.1,"3,024",1.9,"1,340",0.8,"118,608",74.7,143,HABASWEIN,Male,"86,244","20,991 24.3","2,111 2.4",748 0.9,"62,022 71.9",360,0.4,12,"20,991",24.3,"2,111",2.4,748,0.9,"62,022",71.9,143,HABASWEIN,Male,"86,244","20,991 24.3","2,111 2.4",748 0.9,"62,022 71.9",360,0.4,12,"20,991",24.3,"2,111",2.4,748,0.9,"62,022",71.9,habaswein
298,Vihiga,Vihiga,38,Hamisi,hamisi,HAMISI,HAMISI,"149,047","71,281 47.8","30,634 20.6","32,812 22.0","13,557 9.1",754,0.5,9,"71,281",47.8,"30,634",20.6,"32,812",22,"13,557",9.1,923,HAMISI,Male,"71,816","35,931 50.0","14,696 20.5","15,085 21.0","5,718 8.0",381,0.5,5,"35,931",50,"14,696",20.5,"15,085",21,"5,718",8,923,HAMISI,Male,"71,816","35,931 50.0","14,696 20.5","15,085 21.0","5,718 8.0",381,0.5,5,"35,931",50,"14,696",20.5,"15,085",21,"5,718",8,hamisi
513,Homa Bay,Homa Bay,43,,,HOMA BAY,HOMA BAY,"1,037,468","539,753 52.0","196,288 18.9","200,313 19.3","94,406 9.1","6,627",0.6,81,"539,753",52,"196,288",18.9,"200,313",19.3,"94,406",9.1,1037,HOMA BAY,Male,"491,680","274,952 55.9","98,363 20.0","79,996 16.3","34,878 7.1","3,451",0.7,40,"274,952",55.9,"98,363",20,"79,996",16.3,"34,878",7.1,1037,HOMA BAY,Male,"491,680","274,952 55.9","98,363 20.0","79,996 16.3","34,878 7.1","3,451",0.7,40,"274,952",55.9,"98,363",20,"79,996",16.3,"34,878",7.1,homa bay
40,Garissa,Garissa,7,Hulugho,hulugho,HULUGHO,HULUGHO,"124,947","19,993 16.0","1,347 1.1","1,038 0.8","99,237 79.4","3,324",2.7,8,"19,993",16,"1,347",1.1,"1,038",0.8,"99,237",79.4,125,HULUGHO,Male,"73,417","12,290 16.7",910 1.2,598 0.8,"57,522 78.3","2,092",2.8,5,"12,290",16.7,910,1.2,598,0.8,"57,522",78.3,125,HULUGHO,Male,"73,417","12,290 16.7",910 1.2,598 0.8,"57,522 78.3","2,092",2.8,5,"12,290",16.7,910,1.2,598,0.8,"57,522",78.3,hulugho
391,Tharaka-Nithi,Chuka,13,Igambangombe,Igambangombe,IGAMBANG'OMBE,IGAMBANG'OMBE,"49,368","20,369 41.3","9,492 19.2","13,284 26.9","5,664 11.5",544,1.1,15,"20,369",41.3,"9,492",19.2,"13,284",26.9,"5,664",11.5,266,IGAMBANG'OMBE,Male,"24,367","10,393 42.7","4,749 19.5","6,639 27.2","2,257 9.3",320,1.3,9,"10,393",42.7,"4,749",19.5,"6,639",27.2,"2,257",9.3,266,IGAMBANG'OMBE,Male,"24,367","10,393 42.7","4,749 19.5","6,639 27.2","2,257 9.3",320,1.3,9,"10,393",42.7,"4,749",19.5,"6,639",27.2,"2,257",9.3,igambang'ombe
169,Meru,Meru,12,Igembe central,igembe central,IGEMBE CENTRAL,IGEMBE CENTRAL,"204,412","84,771 41.5","24,445 12.0","50,589 24.7","41,948 20.5","2,617",1.3,42,"84,771",41.5,"24,445",12,"50,589",24.7,"41,948",20.5,230,IGEMBE CENTRAL,Male,"102,059","42,142 41.3","12,198 12.0","26,267 25.7","19,844 19.4","1,586",1.6,22,"42,142",41.3,"12,198",12,"26,267",25.7,"19,844",19.4,230,IGEMBE CENTRAL,Male,"102,059","42,142 41.3","12,198 12.0","26,267 25.7","19,844 19.4","1,586",1.6,22,"42,142",41.3,"12,198",12,"26,267",25.7,"19,844",19.4,igembe central
170,Meru,Meru,12,Igembe north,igembe north,IGEMBE NORTH,IGEMBE NORTH,"156,536","66,151 42.3","16,939 10.8","29,927 19.1","41,455 26.5","2,014",1.3,50,"66,151",42.3,"16,939",10.8,"29,927",19.1,"41,455",26.5,233,IGEMBE NORTH,Male,"76,912","32,652 42.5","8,458 11.0","15,242 19.8","19,353 25.2","1,179",1.5,28,"32,652",42.5,"8,458",11,"15,242",19.8,"19,353",25.2,233,IGEMBE NORTH,Male,"76,912","32,652 42.5","8,458 11.0","15,242 19.8","19,353 25.2","1,179",1.5,28,"32,652",42.5,"8,458",11,"15,242",19.8,"19,353",25.2,igembe north
171,Meru,Meru,12,Igembe south,igembe south,IGEMBE SOUTH,IGEMBE SOUTH,"149,522","56,443 37.7","26,006 17.4","37,957 25.4","26,764 17.9","2,296",1.5,56,"56,443",37.7,"26,006",17.4,"37,957",25.4,"26,764",17.9,236,IGEMBE SOUTH,Male,"74,030","27,641 37.3","12,675 17.1","19,443 26.3","12,779 17.3","1,462",2,30,"27,641",37.3,"12,675",17.1,"19,443",26.3,"12,779",17.3,236,IGEMBE SOUTH,Male,"74,030","27,641 37.3","12,675 17.1","19,443 26.3","12,779 17.3","1,462",2,30,"27,641",37.3,"12,675",17.1,"19,443",26.3,"12,779",17.3,igembe south
41,Garissa,Garissa,7,Ijara,ijara,IJARA,IJARA,"131,571","28,963 22.0","3,063 2.3","1,029 0.8","91,781 69.8","6,718",5.1,17,"28,963",22,"3,063",2.3,"1,029",0.8,"91,781",69.8,128,IJARA,Male,"75,484","17,366 23.0","2,113 2.8",615 0.8,"51,387 68.1","3,993",5.3,10,"17,366",23,"2,113",2.8,615,0.8,"51,387",68.1,128,IJARA,Male,"75,484","17,366 23.0","2,113 2.8",615 0.8,"51,387 68.1","3,993",5.3,10,"17,366",23,"2,113",2.8,615,0.8,"51,387",68.1,ijara
116,Kitui,Kitui,15,Ikutha,ikutha,IKUTHA,IKUTHA,"77,563","39,676 51.2","15,378 19.8","11,877 15.3","9,400 12.1","1,229",1.6,3,"39,676",51.2,"15,378",19.8,"11,877",15.3,"9,400",12.1,308,IKUTHA,Male,"37,282","20,339 54.6","7,295 19.6","5,630 15.1","3,409 9.1",607,1.6,2,"20,339",54.6,"7,295",19.6,"5,630",15.1,"3,409",9.1,308,IKUTHA,Male,"37,282","20,339 54.6","7,295 19.6","5,630 15.1","3,409 9.1",607,1.6,2,"20,339",54.6,"7,295",19.6,"5,630",15.1,"3,409",9.1,ikutha
